"","Season","Area","sample","DIC","Salinity","pH","Temperature"
"1","Summer","SJI","CP_201706",1857.976,30.314571,8.25355601432823,11.2
"2","Summer","SJI","CP_201707",1931.206,29.242153,8.13958002424477,11.9
"3","Summer","SJI","CP_201708",2076.161,26.144057,7.73882369767505,11.4
"4","Summer","SJI","CP_201709",1968.397,30,8.10147966265907,11.02
"5","Summer","SJI","CP_201805",1945.818,28,8.16483181466947,11.2
"6","Summer","SJI","CP_201807",1908.473,27,8.24524510035327,12
"7","Summer","SJI","FH_201706",1810.205,25.48869,8.131349642647,11.63
"8","Summer","SJI","FH_201707",2002.899,25.667427,7.96737706110525,11.25
"9","Summer","SJI","FH_201708",2039.298,25.548269,7.77983558054017,11.91
"10","Summer","SJI","FH_201709",2041.614,29,7.90185917859559,11.07
"11","Summer","SJI","FH_201805",1975.71,27,8.09481116252403,10.3
"12","Summer","SJI","FH_201807",1954.818,25,8.11306527282431,11.8
"13","Summer","SJI","LK_201706",1862.752,30.314571,8.26974028912872,11.2
"14","Summer","SJI","LK_201707",1902.406,26.620687,8.29291098206565,12.3
"15","Summer","SJI","LK_201708",2116.019,26.501529,7.70097648128313,10.9
"16","Summer","SJI","LK_201709",1963.371,30,8.15317449596181,11.3
"17","Summer","SJI","LK_201805",1971.803,29,8.09129858788258,11
"18","Summer","SJI","LK_201807",1843.42,27,8.26617806506615,12.47
"19","Winter","SJI","CP_201711",1997.276,30,7.99127879712098,9.23
"20","Winter","SJI","CP_201801",2025.241,30,7.94897015403952,8
"21","Winter","SJI","CP_201803",1922.812,25,8.25698381631942,8.8
"22","Winter","SJI","FH_201711",2024.333,29.5,7.86856788720225,9.22
"23","Winter","SJI","FH_201801",2050.176,29,7.81573097291653,7.98
"24","Winter","SJI","FH_201803",1993.588,26,8.06984862083706,9
"25","Winter","SJI","LK_201711",2017.232,30,8.08252141548192,9.3
"26","Winter","SJI","LK_201801",2044.992,29,7.97743176972726,8.13
"27","Winter","SJI","LK_201803",1979.91,29,8.13503391652781,8.7
"28","Summer","Hood Canal","LL_201705",1358.141,20.245759,8.24280704016109,18.1
"29","Summer","Hood Canal","LL_201706",1493.552,22.40251,8.00654660418378,17.94
"30","Summer","Hood Canal","LL_201707",1381.749,16.015666,8.30658771123347,16.4
"31","Summer","Hood Canal","LL_201708",1609.154,20.543653,7.93902637971152,18.4
"32","Summer","Hood Canal","LL_201709",1805.744,27,8.08363888839782,12.7
"33","Summer","Hood Canal","LL_201805",1249.064,11,8.53604312505223,15.4
"34","Summer","Hood Canal","LL_201807",1597.188,10,8.64780672132154,19.2
"35","Summer","Hood Canal","PO_201705",1346.375,18.160502,8.19208247973626,18.05
"36","Summer","Hood Canal","PO_201706",1467.066,22.807646,8.07170911646853,17.48
"37","Summer","Hood Canal","PO_201707",1550.014,19.912118,8.1201455432923,22.1
"38","Summer","Hood Canal","PO_201708",1704.953,20.543653,7.97771464715935,18.12
"39","Summer","Hood Canal","PO_201709",1586.967,15,8.22542090035659,12.38
"40","Summer","Hood Canal","PO_201805",1482.672,15,8.44051866261191,13.7
"41","Summer","Hood Canal","PO_201807",1715.327,17,8.32970244447159,20.4
"42","Summer","Hood Canal","SA_201705",1705.124,29.992845,8.36464455362781,12.71
"43","Summer","Hood Canal","SA_201706",1663.901,27.573947,8.23287152501275,15.6
"44","Summer","Hood Canal","SA_201707",1613.302,23.760906,8.35666375833094,17.5
"45","Summer","Hood Canal","SA_201708",1908.239,24.583093,8.1538252024736,14.7
"46","Summer","Hood Canal","SA_201709",1940.855,27,8.02230090937016,12.6
"47","Summer","Hood Canal","SA_201805",1669.811,23,8.4989081270716,15.4
"48","Summer","Hood Canal","SA_201807",1900.541,26,8.27593623611625,13.22
"49","Summer","Hood Canal","TR_201705",1375.247,23.129371,8.31978789130826,17.5
"50","Summer","Hood Canal","TR_201706",1540.464,23.844316,8.21762972363619,17.82
"51","Summer","Hood Canal","TR_201707",1510.506,20.781968,8.21270739931248,20.5
"52","Summer","Hood Canal","TR_201708",1642.368,21.44925,8.12031346958121,19.87
"53","Summer","Hood Canal","TR_201709",1837.398,25,8.11369962190652,12.86
"54","Summer","Hood Canal","TR_201805",1507.067,20,8.59732368403477,17
"55","Summer","Hood Canal","TR_201807",1734.965,21,8.3109564027227,20.4
"56","Summer","Hood Canal","TW_201705",1383.914,18.160502,8.13927648953247,19.23
"57","Summer","Hood Canal","TW_201706",1541.722,20.698558,8.1519555005197,21.5
"58","Summer","Hood Canal","TW_201707",1566.744,20.543653,8.22780465186332,16.8
"59","Summer","Hood Canal","TW_201708",1620.756,19.590392,7.95129799283579,19.97
"60","Summer","Hood Canal","TW_201709",1683.091,20,8.25040066741368,16.7
"61","Summer","Hood Canal","TW_201805",1466.111,15,8.44607637685469,17
"62","Summer","Hood Canal","TW_201807",1608.114,13,8.44377662732006,22.6
"63","Winter","Hood Canal","LL_201801",1738.193,25,8.08720223594871,9.12
"64","Winter","Hood Canal","LL_201803",1618.585,21,8.14658254584162,9.53
"65","Winter","Hood Canal","PO_201711",1478.403,15,8.02354235420647,9.8
"66","Winter","Hood Canal","PO_201801",1890.793,20,8.12316742931316,9.99
"67","Winter","Hood Canal","PO_201803",1907.759,25,8.11717156515636,10.8
"68","Winter","Hood Canal","SA_201711",1922.356,27,7.95063183241272,10
"69","Winter","Hood Canal","SA_201801",1823.806,25,8.19791657074083,7.98
"70","Winter","Hood Canal","SA_201803",1834.46,25,8.18863596285827,10
"71","Winter","Hood Canal","TR_201711",1909.319,24,7.94208011811693,11
"72","Winter","Hood Canal","TR_201801",1627.324,23,8.09288031700883,8.32
"73","Winter","Hood Canal","TR_201803",1826.128,25,8.12182861568464,9.7
"74","Winter","Hood Canal","TW_201711",1357.15,15,8.0399363004988,9.2
"75","Winter","Hood Canal","TW_201801",1252.623,12.023889,8.57313383905097,7.17
"76","Winter","Hood Canal","TW_201803",1575.118,16,8.43435989556038,10.29
