"","sample","species","nReads"
"1","CP_201706","Acartia longiremis",2462
"2","CP_201706","Acrochaetium arcuatum",28
"3","CP_201706","Aequorea sp. MW-2012",630
"4","CP_201706","Apodachlya minima",57
"5","CP_201706","Asterionellopsis guyunusae",5
"6","CP_201706","Attheya longicornis",61
"7","CP_201706","Aurelia labiata",131
"8","CP_201706","Balanus balanus",4606
"9","CP_201706","Bathycoccus prasinos",22925
"10","CP_201706","Blastocladiella emersonii",82
"11","CP_201706","Chaetoceros socialis",4061
"12","CP_201706","Chaetoceros sp. MBTD-CMFRI-S045",483
"13","CP_201706","Chattonella subsalsa",41
"14","CP_201706","Chordariaceae sp. 7 AP-2014",43
"15","CP_201706","Chrysochromulina sp. CCMP291",9
"16","CP_201706","Clytia folleata",28
"17","CP_201706","Clytia gracilis",360
"18","CP_201706","Corallina vancouveriensis",622
"19","CP_201706","Coscinodiscus wailesii",35
"20","CP_201706","Cylindrotheca closterium",173
"21","CP_201706","Devaleraea mollis",19
"22","CP_201706","Dictyocha speculum",33
"23","CP_201706","Ditylum brightwellii",299
"24","CP_201706","Dodecaceria sp. CMC01",309
"25","CP_201706","Emiliania huxleyi",8
"26","CP_201706","Grammonema striatula",1858
"27","CP_201706","Halichondria panicea",18
"28","CP_201706","Hecatonema maculans",139
"29","CP_201706","Hematodinium sp.",37
"30","CP_201706","Heterocapsa rotundata",1130
"31","CP_201706","Lacuna vincta",212
"32","CP_201706","Laminariocolax aecidioides",9
"33","CP_201706","Leathesia marina",8
"34","CP_201706","Mazzaella splendens",103
"35","CP_201706","Membranipora membranacea",23
"36","CP_201706","Micromonas pusilla",12485
"37","CP_201706","Minutocellus polymorphus",3740
"38","CP_201706","Naineris dendritica CMC02",30
"39","CP_201706","Nanomia bijuga",2
"40","CP_201706","Navicula cryptocephala",7
"41","CP_201706","Navicula glaciei",45
"42","CP_201706","Navicula sp. BOLD:AAO6951",459
"43","CP_201706","Neorhodomela oregona",751
"44","CP_201706","Nereocystis luetkeana",60
"45","CP_201706","Nicolea zostericola",117
"46","CP_201706","Nitzschia cf. promare",115
"47","CP_201706","Notheia anomala",19
"48","CP_201706","Odonthalia floccosa",6
"49","CP_201706","Orthocladius sp. BOLD-2016",993
"50","CP_201706","Orthopyxis integra",85
"51","CP_201706","Paramoeba pemaquidensis",7
"52","CP_201706","Pedospumella sinomuralis",5
"53","CP_201706","Phaeocystis antarctica",3352
"54","CP_201706","Phaeocystis globosa",21
"55","CP_201706","Phytophthora taxon paludosa",4
"56","CP_201706","Pinnularia sp. 5 CS-2011",15
"57","CP_201706","Platynereis bicanaliculata",3425
"58","CP_201706","Polysiphonia hendryi",59
"59","CP_201706","Poteriospumella lacustris",38
"60","CP_201706","Pseudo-nitzschia delicatissima",140
"61","CP_201706","Pseudo-nitzschia hasleana",555
"62","CP_201706","Pseudocalanus newmani",6
"63","CP_201706","Pterosiphonia bipinnata",12
"64","CP_201706","Pyramimonas parkeae",128
"65","CP_201706","Pyropia fallax",49
"66","CP_201706","Pythium pachycaule",23
"67","CP_201706","Pythium tracheiphilum",44
"68","CP_201706","Ralfsioid sp. 4GWS",85
"69","CP_201706","Rhizosolenia setigera",10444
"70","CP_201706","Rhodomonas salina",8
"71","CP_201706","Salispina spinosa",8
"72","CP_201706","Sarcodiotheca sp. 2gaudichaudii",20
"73","CP_201706","Schizobranchia insignis",13
"74","CP_201706","Scopalina ruetzleri",65
"75","CP_201706","Semibalanus cariosus",18
"76","CP_201706","Skeletonema cf. pseudocostatum",28
"77","CP_201706","Skeletonema dohrnii",8
"78","CP_201706","Skeletonema japonicum",339
"79","CP_201706","Smithora naiadum",1361
"80","CP_201706","Strongylocentrotus droebachiensis",20
"81","CP_201706","Synchaeta pectinata",16
"82","CP_201706","Thalassionema nitzschioides",107
"83","CP_201706","Thalassiosira nordenskioeldii",3945
"84","CP_201706","Thecamonas trahens",381
"85","CP_201706","Thelepus crispus",181
"86","CP_201706","Triparma laevis",81
"87","CP_201706","Wildemania amplissima",17
"88","CP_201706","Wildemania sp. 5POR",226
"89","CP_201706","Wildemania sp. HK-2011",16
"90","CP_201706",NA,152651
"91","CP_201707","Acartia longiremis",10770
"92","CP_201707","Acrochaetium arcuatum",114
"93","CP_201707","Aequorea sp. MW-2012",31
"94","CP_201707","Ammodytes hexapterus",1799
"95","CP_201707","Asterionellopsis glacialis",5
"96","CP_201707","Asterionellopsis tropicalis",4
"97","CP_201707","Attheya longicornis",122
"98","CP_201707","Azumapecten farreri",26
"99","CP_201707","Balanus balanus",6040
"100","CP_201707","Bathycoccus prasinos",189
"101","CP_201707","Blastocladiella emersonii",18
"102","CP_201707","Centropages abdominalis",6594
"103","CP_201707","Chaetoceros socialis",936
"104","CP_201707","Chaetoceros sp. MBTD-CMFRI-S045",276
"105","CP_201707","Chaetoceros sp. MBTD-CMFRI-S062",32
"106","CP_201707","Chattonella subsalsa",1186
"107","CP_201707","Chondracanthus exasperatus",31
"108","CP_201707","Chrysochromulina sp. CCMP291",449
"109","CP_201707","Chrysonoma sp. ANIC15",6
"110","CP_201707","Cliona chilensis",140
"111","CP_201707","Clytia gracilis",1082
"112","CP_201707","Corallina vancouveriensis",135
"113","CP_201707","Coscinodiscus wailesii",12800
"114","CP_201707","Cylindrotheca closterium",289
"115","CP_201707","Dictyocha speculum",617
"116","CP_201707","Ditylum brightwellii",712
"117","CP_201707","Dodecaceria sp. CMC01",23
"118","CP_201707","Dolichomastix tenuilepis",38
"119","CP_201707","Egregia menziesii",105
"120","CP_201707","Enophrys bison",423
"121","CP_201707","Eucampia zodiacus",8
"122","CP_201707","Euclymene oerstedi",1379
"123","CP_201707","Grammonema striatula",200
"124","CP_201707","Halichondria panicea",14
"125","CP_201707","Hecatonema maculans",171
"126","CP_201707","Heterocapsa rotundata",45
"127","CP_201707","Lacuna vincta",5220
"128","CP_201707","Laminariocolax aecidioides",52
"129","CP_201707","Leathesia marina",189
"130","CP_201707","Mazzaella splendens",21
"131","CP_201707","Membranipora membranacea",316
"132","CP_201707","Micromonas pusilla",2658
"133","CP_201707","Minutocellus polymorphus",4651
"134","CP_201707","Naineris dendritica CMC02",200
"135","CP_201707","Neorhodomela oregona",8
"136","CP_201707","Nereocystis luetkeana",821
"137","CP_201707","Nicolea zostericola",570
"138","CP_201707","Nitzschia cf. promare",292
"139","CP_201707","Orthopyxis integra",18039
"140","CP_201707","Paracalanus sp. C AC-2013",40
"141","CP_201707","Paramoeba pemaquidensis",233
"142","CP_201707","Phaeocystis antarctica",1111
"143","CP_201707","Phaeocystis globosa",107
"144","CP_201707","Platichthys stellatus",1040
"145","CP_201707","Platynereis bicanaliculata",153
"146","CP_201707","Poteriospumella lacustris",93
"147","CP_201707","Protoperidinium cf. depressum",644
"148","CP_201707","Pseudo-nitzschia hasleana",30
"149","CP_201707","Pseudocalanus newmani",9340
"150","CP_201707","Pseudochattonella farcimen",100
"151","CP_201707","Pyropia fallax",4
"152","CP_201707","Pyropia nereocystis",5
"153","CP_201707","Pythium pachycaule",60
"154","CP_201707","Pythium tracheiphilum",2427
"155","CP_201707","Rhizosolenia setigera",4453
"156","CP_201707","Skeletonema cf. pseudocostatum",10
"157","CP_201707","Skeletonema dohrnii",157
"158","CP_201707","Skeletonema japonicum",63
"159","CP_201707","Smithora naiadum",3915
"160","CP_201707","Stephanopyxis turris",88
"161","CP_201707","Thalassionema nitzschioides",2
"162","CP_201707","Thalassiosira nordenskioeldii",1523
"163","CP_201707","Thecamonas trahens",40
"164","CP_201707","Thelepus sp. CMC01",8545
"165","CP_201707","Tresus capax",211
"166","CP_201707","Triparma laevis",510
"167","CP_201707","Wildemania amplissima",18
"168","CP_201707","Wildemania sp. 5POR",215
"169","CP_201707",NA,182608
"170","CP_201708","Acartia californiensis",79
"171","CP_201708","Acartia longiremis",8443
"172","CP_201708","Aequorea sp. MW-2012",17
"173","CP_201708","Arca avellana",71
"174","CP_201708","Asterionellopsis glacialis",160
"175","CP_201708","Asterionellopsis guyunusae",17
"176","CP_201708","Asterionellopsis tropicalis",19
"177","CP_201708","Attheya longicornis",239
"178","CP_201708","Azumapecten farreri",12
"179","CP_201708","Bathycoccus prasinos",2623
"180","CP_201708","Blastocladiella emersonii",86
"181","CP_201708","Bougainvillia muscus",81
"182","CP_201708","Brachionidae sp. SHYT150702c",19
"183","CP_201708","Calanus pacificus",91
"184","CP_201708","Centropages abdominalis",3
"185","CP_201708","Chaetoceros socialis",1253
"186","CP_201708","Chaetoceros sp. MBTD-CMFRI-S062",5801
"187","CP_201708","Chattonella subsalsa",129
"188","CP_201708","Chondracanthus exasperatus",58
"189","CP_201708","Chrysochromulina sp. CCMP291",97
"190","CP_201708","Compsomyax subdiaphana",4
"191","CP_201708","Coryne eximia",98
"192","CP_201708","Coscinodiscus wailesii",152
"193","CP_201708","Cylindrotheca closterium",26
"194","CP_201708","Dictyocha speculum",2051
"195","CP_201708","Emiliania huxleyi",48
"196","CP_201708","Eucampia zodiacus",30
"197","CP_201708","Glycera sp. CMC03",13520
"198","CP_201708","Heterocapsa rotundata",122
"199","CP_201708","Hincksia hincksiae",3
"200","CP_201708","Loxothylacus panopaei",73
"201","CP_201708","Macoma nasuta",556
"202","CP_201708","Mazzaella splendens",51
"203","CP_201708","Membranipora membranacea",163
"204","CP_201708","Micromonas pusilla",7093
"205","CP_201708","Minutocellus polymorphus",13626
"206","CP_201708","Muggiaea atlantica",58
"207","CP_201708","Mytilus trossulus",171
"208","CP_201708","Paracalanus sp. C AC-2013",168
"209","CP_201708","Phaeocystis antarctica",29959
"210","CP_201708","Phaeocystis globosa",145
"211","CP_201708","Poteriospumella lacustris",14
"212","CP_201708","Proboscidactyla flavicirrata",2
"213","CP_201708","Protoperidinium cf. depressum",181
"214","CP_201708","Pseudo-nitzschia delicatissima",58
"215","CP_201708","Pseudo-nitzschia hasleana",1060
"216","CP_201708","Pseudocalanus moultoni",4
"217","CP_201708","Pseudocalanus newmani",25189
"218","CP_201708","Pseudochattonella farcimen",20
"219","CP_201708","Pycnococcus provasolii",83
"220","CP_201708","Pythium sp. CAL-2011c",3
"221","CP_201708","Pythium tracheiphilum",553
"222","CP_201708","Rhizosolenia setigera",2301
"223","CP_201708","Saxidomus gigantea",24
"224","CP_201708","Sellaphora bacillum",362
"225","CP_201708","Skeletonema dohrnii",36
"226","CP_201708","Stephanopyxis turris",3
"227","CP_201708","Styela gibbsii",14417
"228","CP_201708","Thalassiosira nordenskioeldii",7770
"229","CP_201708","Thalassiosira punctigera",18
"230","CP_201708","Triparma laevis",145
"231","CP_201708",NA,189295
"232","CP_201709","Anisolpidium ectocarpii",76
"233","CP_201709","Attheya longicornis",12
"234","CP_201709","Azumapecten farreri",98
"235","CP_201709","Bathycoccus prasinos",113421
"236","CP_201709","Blastocladiella emersonii",47
"237","CP_201709","Bougainvillia muscus",1965
"238","CP_201709","Campanularia volubilis",65
"239","CP_201709","Chattonella subsalsa",27
"240","CP_201709","Chondracanthus exasperatus",10
"241","CP_201709","Chrysochromulina sp. CCMP291",111
"242","CP_201709","Coryne eximia",164
"243","CP_201709","Coscinodiscus wailesii",474
"244","CP_201709","Cylindrotheca closterium",84
"245","CP_201709","Dendraster excentricus",4
"246","CP_201709","Dictyocha speculum",188
"247","CP_201709","Dolichomastix tenuilepis",28
"248","CP_201709","Emiliania huxleyi",801
"249","CP_201709","Eunice valens",841
"250","CP_201709","Halichondria panicea",48
"251","CP_201709","Heterocapsa rotundata",4451
"252","CP_201709","Homo sapiens",48
"253","CP_201709","Mazzaella rosea",9
"254","CP_201709","Mazzaella splendens",236
"255","CP_201709","Membranipora membranacea",38
