sample,species,nReads
CP_201706,Acartia longiremis,2462
CP_201706,Acrochaetium arcuatum,28
CP_201706,Aequorea sp. MW-2012,630
CP_201706,Apodachlya minima,57
CP_201706,Asterionellopsis guyunusae,5
CP_201706,Attheya longicornis,61
CP_201706,Aurelia labiata,131
CP_201706,Balanus balanus,4606
CP_201706,Bathycoccus prasinos,22925
CP_201706,Blastocladiella emersonii,82
CP_201706,Chaetoceros socialis,4061
CP_201706,Chaetoceros sp. MBTD-CMFRI-S045,483
CP_201706,Chattonella subsalsa,41
CP_201706,Chordariaceae sp. 7 AP-2014,43
CP_201706,Chrysochromulina sp. CCMP291,9
CP_201706,Clytia folleata,28
CP_201706,Clytia gracilis,360
CP_201706,Corallina vancouveriensis,622
CP_201706,Coscinodiscus wailesii,35
CP_201706,Cylindrotheca closterium,173
CP_201706,Devaleraea mollis,19
CP_201706,Dictyocha speculum,33
CP_201706,Ditylum brightwellii,299
CP_201706,Dodecaceria sp. CMC01,309
CP_201706,Emiliania huxleyi,8
CP_201706,Grammonema striatula,1858
CP_201706,Halichondria panicea,18
CP_201706,Hecatonema maculans,139
CP_201706,Hematodinium sp.,37
CP_201706,Heterocapsa rotundata,1130
CP_201706,Lacuna vincta,212
CP_201706,Laminariocolax aecidioides,9
CP_201706,Leathesia marina,8
CP_201706,Mazzaella splendens,103
CP_201706,Membranipora membranacea,23
CP_201706,Micromonas pusilla,12485
CP_201706,Minutocellus polymorphus,3740
CP_201706,Naineris dendritica CMC02,30
CP_201706,Nanomia bijuga,2
CP_201706,Navicula cryptocephala,7
CP_201706,Navicula glaciei,45
CP_201706,Navicula sp. BOLD:AAO6951,459
CP_201706,Neorhodomela oregona,751
CP_201706,Nereocystis luetkeana,60
CP_201706,Nicolea zostericola,117
CP_201706,Nitzschia cf. promare,115
CP_201706,Notheia anomala,19
CP_201706,Odonthalia floccosa,6
CP_201706,Orthocladius sp. BOLD-2016,993
CP_201706,Orthopyxis integra,85
CP_201706,Paramoeba pemaquidensis,7
CP_201706,Pedospumella sinomuralis,5
CP_201706,Phaeocystis antarctica,3352
CP_201706,Phaeocystis globosa,21
CP_201706,Phytophthora taxon paludosa,4
CP_201706,Pinnularia sp. 5 CS-2011,15
CP_201706,Platynereis bicanaliculata,3425
CP_201706,Polysiphonia hendryi,59
CP_201706,Poteriospumella lacustris,38
CP_201706,Pseudo-nitzschia delicatissima,140
