sample,bio,tech,species,nReads
CP_201706,A,1,Acartia longiremis,314
CP_201706,A,1,Bathycoccus prasinos,849
CP_201706,A,1,Chaetoceros socialis,14
CP_201706,A,1,Clytia gracilis,15
CP_201706,A,1,Cylindrotheca closterium,7
CP_201706,A,1,Grammonema striatula,10
CP_201706,A,1,Heterocapsa rotundata,332
CP_201706,A,1,Micromonas pusilla,643
CP_201706,A,1,Minutocellus polymorphus,63
CP_201706,A,1,Navicula sp. BOLD:AAO6951,5
CP_201706,A,1,Neorhodomela oregona,113
CP_201706,A,1,Paramoeba pemaquidensis,7
CP_201706,A,1,Phaeocystis antarctica,141
CP_201706,A,1,Polysiphonia hendryi,13
CP_201706,A,1,Pseudo-nitzschia delicatissima,10
CP_201706,A,1,Pseudo-nitzschia hasleana,7
CP_201706,A,1,Pterosiphonia bipinnata,9
CP_201706,A,1,Rhizosolenia setigera,522
CP_201706,A,1,Smithora naiadum,10
CP_201706,A,1,Thalassionema nitzschioides,8
CP_201706,A,1,Thalassiosira nordenskioeldii,41
CP_201706,A,1,Triparma laevis,71
CP_201706,A,1,Wildemania sp. HK-2011,7
CP_201706,A,1,NA,6099
CP_201706,A,2,Bathycoccus prasinos,11933
CP_201706,A,2,Chaetoceros socialis,840
CP_201706,A,2,Chaetoceros sp. MBTD-CMFRI-S045,17
CP_201706,A,2,Coscinodiscus wailesii,4
CP_201706,A,2,Ditylum brightwellii,18
CP_201706,A,2,Grammonema striatula,407
CP_201706,A,2,Hecatonema maculans,5
CP_201706,A,2,Mazzaella splendens,55
CP_201706,A,2,Micromonas pusilla,1548
CP_201706,A,2,Minutocellus polymorphus,1907
CP_201706,A,2,Navicula sp. BOLD:AAO6951,442
CP_201706,A,2,Neorhodomela oregona,638
CP_201706,A,2,Orthopyxis integra,4
CP_201706,A,2,Phaeocystis antarctica,1757
CP_201706,A,2,Poteriospumella lacustris,35
CP_201706,A,2,Pterosiphonia bipinnata,3
CP_201706,A,2,Pythium pachycaule,3
CP_201706,A,2,Ralfsioid sp. 4GWS,81
CP_201706,A,2,Rhizosolenia setigera,1105
CP_201706,A,2,Skeletonema cf. pseudocostatum,14
CP_201706,A,2,Smithora naiadum,77
CP_201706,A,2,Thalassiosira nordenskioeldii,1494
CP_201706,A,2,Wildemania sp. 5POR,12
CP_201706,A,2,NA,19155
CP_201706,B,1,Acartia longiremis,1105
CP_201706,B,1,Acrochaetium arcuatum,28
CP_201706,B,1,Aequorea sp. MW-2012,510
CP_201706,B,1,Apodachlya minima,51
CP_201706,B,1,Attheya longicornis,37
CP_201706,B,1,Aurelia labiata,131
CP_201706,B,1,Bathycoccus prasinos,1390
CP_201706,B,1,Blastocladiella emersonii,72
CP_201706,B,1,Chaetoceros socialis,2076
CP_201706,B,1,Chaetoceros sp. MBTD-CMFRI-S045,27
CP_201706,B,1,Chattonella subsalsa,8
CP_201706,B,1,Clytia folleata,28
CP_201706,B,1,Clytia gracilis,42
CP_201706,B,1,Coscinodiscus wailesii,27
CP_201706,B,1,Cylindrotheca closterium,108
CP_201706,B,1,Devaleraea mollis,8
CP_201706,B,1,Dictyocha speculum,24
CP_201706,B,1,Ditylum brightwellii,150
CP_201706,B,1,Grammonema striatula,424
CP_201706,B,1,Hecatonema maculans,91
CP_201706,B,1,Hematodinium sp.,12
CP_201706,B,1,Heterocapsa rotundata,279
CP_201706,B,1,Lacuna vincta,132
CP_201706,B,1,Mazzaella splendens,13
CP_201706,B,1,Micromonas pusilla,5473
CP_201706,B,1,Minutocellus polymorphus,918
CP_201706,B,1,Navicula glaciei,26
CP_201706,B,1,Navicula sp. BOLD:AAO6951,6
CP_201706,B,1,Nereocystis luetkeana,19
CP_201706,B,1,Nicolea zostericola,21
CP_201706,B,1,Notheia anomala,5
CP_201706,B,1,Orthopyxis integra,38
CP_201706,B,1,Phaeocystis antarctica,552
CP_201706,B,1,Phaeocystis globosa,10
CP_201706,B,1,Phytophthora taxon paludosa,4
CP_201706,B,1,Pinnularia sp. 5 CS-2011,15
CP_201706,B,1,Pseudo-nitzschia delicatissima,34
CP_201706,B,1,Pseudo-nitzschia hasleana,471
CP_201706,B,1,Pseudocalanus newmani,6
CP_201706,B,1,Pyramimonas parkeae,128
CP_201706,B,1,Pyropia fallax,23
CP_201706,B,1,Pythium pachycaule,10
CP_201706,B,1,Pythium tracheiphilum,37
CP_201706,B,1,Rhizosolenia setigera,2163
CP_201706,B,1,Salispina spinosa,8
CP_201706,B,1,Skeletonema cf. pseudocostatum,14
CP_201706,B,1,Skeletonema japonicum,249
CP_201706,B,1,Smithora naiadum,325
CP_201706,B,1,Thalassionema nitzschioides,79
CP_201706,B,1,Thalassiosira nordenskioeldii,2071
CP_201706,B,1,Thecamonas trahens,8
CP_201706,B,1,Wildemania amplissima,10
CP_201706,B,1,Wildemania sp. 5POR,22
CP_201706,B,1,Wildemania sp. HK-2011,9
CP_201706,B,1,NA,38887
CP_201706,B,2,Acartia longiremis,723
CP_201706,B,2,Aequorea sp. MW-2012,50
CP_201706,B,2,Apodachlya minima,6
CP_201706,B,2,Attheya longicornis,18
CP_201706,B,2,Bathycoccus prasinos,906
CP_201706,B,2,Blastocladiella emersonii,7
CP_201706,B,2,Chaetoceros socialis,238
CP_201706,B,2,Chaetoceros sp. MBTD-CMFRI-S045,43
CP_201706,B,2,Chattonella subsalsa,33
CP_201706,B,2,Chordariaceae sp. 7 AP-2014,16
CP_201706,B,2,Clytia gracilis,13
CP_201706,B,2,Corallina vancouveriensis,10
CP_201706,B,2,Coscinodiscus wailesii,4
CP_201706,B,2,Cylindrotheca closterium,9
CP_201706,B,2,Devaleraea mollis,3
CP_201706,B,2,Ditylum brightwellii,37
CP_201706,B,2,Dodecaceria sp. CMC01,5
CP_201706,B,2,Emiliania huxleyi,3
CP_201706,B,2,Grammonema striatula,78
CP_201706,B,2,Halichondria panicea,12
CP_201706,B,2,Hecatonema maculans,12
CP_201706,B,2,Heterocapsa rotundata,67
CP_201706,B,2,Lacuna vincta,61
CP_201706,B,2,Laminariocolax aecidioides,9
CP_201706,B,2,Mazzaella splendens,18
CP_201706,B,2,Micromonas pusilla,1453
CP_201706,B,2,Minutocellus polymorphus,224
CP_201706,B,2,Nereocystis luetkeana,2
CP_201706,B,2,Odonthalia floccosa,6
CP_201706,B,2,Orthopyxis integra,13
CP_201706,B,2,Pedospumella sinomuralis,2
CP_201706,B,2,Phaeocystis antarctica,607
CP_201706,B,2,Phaeocystis globosa,3
CP_201706,B,2,Polysiphonia hendryi,12
CP_201706,B,2,Poteriospumella lacustris,3
CP_201706,B,2,Pseudo-nitzschia delicatissima,18
CP_201706,B,2,Pseudo-nitzschia hasleana,53
CP_201706,B,2,Pythium tracheiphilum,7
CP_201706,B,2,Rhizosolenia setigera,587
CP_201706,B,2,Schizobranchia insignis,13
CP_201706,B,2,Skeletonema japonicum,39
CP_201706,B,2,Smithora naiadum,57
CP_201706,B,2,Strongylocentrotus droebachiensis,20
CP_201706,B,2,Thalassionema nitzschioides,12
CP_201706,B,2,Thalassiosira nordenskioeldii,194
CP_201706,B,2,Triparma laevis,5
CP_201706,B,2,Wildemania amplissima,7
CP_201706,B,2,Wildemania sp. 5POR,13
CP_201706,B,2,NA,6746
CP_201706,B,3,Acartia longiremis,320
CP_201706,B,3,Aequorea sp. MW-2012,70
CP_201706,B,3,Bathycoccus prasinos,534
CP_201706,B,3,Chaetoceros socialis,310
CP_201706,B,3,Chaetoceros sp. MBTD-CMFRI-S045,22
CP_201706,B,3,Clytia gracilis,43
CP_201706,B,3,Dictyocha speculum,9
CP_201706,B,3,Ditylum brightwellii,33
CP_201706,B,3,Grammonema striatula,71
CP_201706,B,3,Hecatonema maculans,11
CP_201706,B,3,Heterocapsa rotundata,109
CP_201706,B,3,Lacuna vincta,19
CP_201706,B,3,Leathesia marina,8
CP_201706,B,3,Mazzaella splendens,17
CP_201706,B,3,Micromonas pusilla,682
CP_201706,B,3,Minutocellus polymorphus,219
CP_201706,B,3,Nanomia bijuga,2
