"","sample","species","nReads"
"1","CP_201706A.1","Acartia longiremis",314
"2","CP_201706A.1","Bathycoccus prasinos",849
"3","CP_201706A.1","Chaetoceros socialis",14
"4","CP_201706A.1","Clytia gracilis",15
"5","CP_201706A.1","Cylindrotheca closterium",7
"6","CP_201706A.1","Grammonema striatula",10
"7","CP_201706A.1","Heterocapsa rotundata",332
"8","CP_201706A.1","Micromonas pusilla",643
"9","CP_201706A.1","Minutocellus polymorphus",63
"10","CP_201706A.1","Navicula sp. BOLD:AAO6951",5
"11","CP_201706A.1","Neorhodomela oregona",113
"12","CP_201706A.1","Paramoeba pemaquidensis",7
"13","CP_201706A.1","Phaeocystis antarctica",141
"14","CP_201706A.1","Polysiphonia hendryi",13
"15","CP_201706A.1","Pseudo-nitzschia delicatissima",10
"16","CP_201706A.1","Pseudo-nitzschia hasleana",7
"17","CP_201706A.1","Pterosiphonia bipinnata",9
"18","CP_201706A.1","Rhizosolenia setigera",522
"19","CP_201706A.1","Smithora naiadum",10
"20","CP_201706A.1","Thalassionema nitzschioides",8
"21","CP_201706A.1","Thalassiosira nordenskioeldii",41
"22","CP_201706A.1","Triparma laevis",71
"23","CP_201706A.1","Wildemania sp. HK-2011",7
"24","CP_201706A.1",NA,6099
"25","CP_201706A.2","Bathycoccus prasinos",11933
"26","CP_201706A.2","Chaetoceros socialis",840
"27","CP_201706A.2","Chaetoceros sp. MBTD-CMFRI-S045",17
"28","CP_201706A.2","Coscinodiscus wailesii",4
"29","CP_201706A.2","Ditylum brightwellii",18
"30","CP_201706A.2","Grammonema striatula",407
"31","CP_201706A.2","Hecatonema maculans",5
"32","CP_201706A.2","Mazzaella splendens",55
"33","CP_201706A.2","Micromonas pusilla",1548
"34","CP_201706A.2","Minutocellus polymorphus",1907
"35","CP_201706A.2","Navicula sp. BOLD:AAO6951",442
"36","CP_201706A.2","Neorhodomela oregona",638
"37","CP_201706A.2","Orthopyxis integra",4
"38","CP_201706A.2","Phaeocystis antarctica",1757
"39","CP_201706A.2","Poteriospumella lacustris",35
"40","CP_201706A.2","Pterosiphonia bipinnata",3
