species,n_detections,group_fv,benthos
NA,86,diatom,PLK
Micromonas pusilla,85,"algae, green",PLK
Thalassiosira nordenskioeldii,85,diatom,PLK
Minutocellus polymorphus,84,diatom,PLK
Bathycoccus prasinos,80,algae,PLK
Cylindrotheca closterium,79,diatom,BEN
Rhizosolenia setigera,78,diatom,PLK
Dictyocha speculum,73,flagellate,PLK
Triparma laevis,73,undetermined,PLK
Phaeocystis antarctica,66,"algae, brown",PLK
Chaetoceros socialis,65,diatom,PLK
Pythium tracheiphilum,65,fungi,None
Emiliania huxleyi,63,coccolithophore,PLK
Homo sapiens,63,undetermined,None
Ditylum brightwellii,62,algae,PLK
Paracalanus sp. C AC-2013,62,copepod,PLK
Chattonella subsalsa,61,algae,PLK
Coscinodiscus wailesii,61,diatom,PLK
Chrysochromulina sp. CCMP291,60,algae,PLK
Poteriospumella lacustris,60,algae,PLK
Pseudochattonella farcimen,59,flagellate,PLK
Skeletonema dohrnii,59,diatom,PLK
Navicula cryptocephala,58,diatom,PLK
Thalassionema nitzschioides,57,diatom,PLK
Nitzschia cf. promare,55,diatom,PLK
Phaeocystis globosa,55,"algae, brown",PLK
Heterocapsa rotundata,53,flagellate,PLK
Balanus glandula,49,crustacean,BEN
Attheya longicornis,48,diatom,PLK
Pycnococcus provasolii,46,"algae, green",PLK
Skeletonema japonicum,46,diatom,PLK
Thalassiosira punctigera,46,diatom,PLK
Littorina plena,44,undetermined,BEN
Protoperidinium cf. depressum,44,flagellate,PLK
Calanus pacificus,40,copepod,PLK
Pseudocalanus newmani,39,copepod,PLK
Lottia paradigitalis,36,undetermined,BEN
Centropages abdominalis,35,copepod,PLK
Gracilaria vermiculophylla,34,"algae, red",BEN
Hincksia hincksiae,34,undetermined,BEN
Acartia longiremis,33,copepod,PLK
Balanus balanus,33,crustacean,BEN
Halichondria panicea,32,sponge,BEN
Saprolegnia diclina,32,fungi,None
Chthamalus dalli,31,undetermined,BEN
Hematodinium sp.,31,flagellate,BEN
Mytilus trossulus,31,"bivalve, mussels",BEN
Ostrea lurida,31,undetermined,BEN
Pedospumella sinomuralis,31,algae,PLK
Dendraster excentricus,30,echinoderm,BEN
Lichtheimia ramosa,30,fungi,None
Navicula sp. BOLD:AAO6951,30,diatom,PLK
Blastocladiella emersonii,29,fungi,None
Membranipora membranacea,28,bryozoan,BEN
Pinnularia sp. 5 CS-2011,28,undetermined,BEN
Pythium pachycaule,28,fungi,None
Asterionellopsis guyunusae,27,"algae, brown",PLK
Melosira nummuloides,26,diatom,PLK
Cliona chilensis,25,sponge,BEN
Harpacticoida sp. DNZ085,25,copepod,PLK
Pseudo-nitzschia hasleana,25,diatom,PLK
Ruditapes philippinarum,25,undetermined,BEN
Pyramimonas parkeae,24,undetermined,PLK
Caulacanthus ustulatus,23,undetermined,BEN
Aequorea sp. MW-2012,22,undetermined,PLK
Chondracanthus exasperatus,22,undetermined,BEN
Plagiogramma sp. IAL-2014a,22,undetermined,BEN
Pseudo-nitzschia delicatissima,22,diatom,PLK
Ralfsioid sp. 4GWS,22,undetermined,BEN
Chordariaceae sp. 7 AP-2014,21,"algae, brown",BEN
Dolichomastix tenuilepis,21,"algae, green",PLK
Mazzaella splendens,21,undetermined,BEN
Prasinoderma coloniale,21,undetermined,PLK
Saxidomus gigantea,21,undetermined,BEN
Thecamonas trahens,21,flagellate,PLK
Cymbomonas tetramitiformis,20,undetermined,PLK
Brachionidae sp. SHYT150702c,19,rotifer,BEN
Corallina vancouveriensis,19,"algae, red",BEN
Grammonema striatula,19,"algae, brown",PLK
Paramoeba pemaquidensis,19,amoebozoa,BEN
Pythium sp. CAL-2011c,19,fungi,None
Semibalanus cariosus,19,undetermined,BEN
Stelligera rigida,19,sponge,BEN
Hecatonema maculans,18,"algae, brown",BEN
Parvamoeba rugata,18,amoebozoa,PLK
Thelepus crispus,18,polychaete,BEN
Fucus distichus,17,undetermined,BEN
Hildenbrandia sp. 27GWS,17,undetermined,BEN
Nereis vexillosa,17,polychaete,BEN
Nuttallia olivacea,17,undetermined,BEN
Chaetoceros sp. MBTD-CMFRI-S062,16,diatom,PLK
Haramonas dimorpha,16,undetermined,None
Laminariocolax aecidioides,16,"algae, brown",BEN
Muggiaea atlantica,16,undetermined,PLK
Nereocystis luetkeana,16,"algae, brown",BEN
Polysiphonia hendryi,16,"algae, red",PLK
Porichthys notatus,16,undetermined,BEN
Stephanopyxis turris,16,diatom,PLK
Gomphonema clevei,15,algae,BEN
Leathesia marina,15,"algae, brown",BEN
Littorina scutulata,15,undetermined,BEN
Neorhodomela oregona,15,"algae, red",PLK
Nitzschia longissima,15,diatom,PLK
Penicillium sclerotiorum,15,fungi,None
Platynereis sp. CMC02,15,polychaete,BEN
Scopalina ruetzleri,15,sponge,BEN
Strongylocentrotus droebachiensis,15,echinoderm,BEN
Wildemania sp. 5POR,15,"algae, red",BEN
Phytophthora multivora,14,undetermined,None
Sellaphora pupula,14,undetermined,BEN
Skeletonema cf. pseudocostatum,14,diatom,PLK
Albugo candida,13,fungi,None
Apodachlya minima,13,undetermined,None
Asterionellopsis glacialis,13,"algae, brown",PLK
Azumapecten farreri,13,undetermined,BEN
Callithamnion corymbosum,13,undetermined,BEN
Clytia gracilis,13,hydrozoan,Both
Crassostrea gigas,13,undetermined,BEN
Macoma nasuta,13,undetermined,BEN
Navicula ramosissima,13,diatom,PLK
Oncorhynchus keta,13,undetermined,PLK
Podosira stelligera,13,diatom,PLK
Pseudocalanus moultoni,13,copepod,PLK
Smithora naiadum,13,"algae, red",BEN
Wildemania amplissima,13,"algae, red",BEN
Aurelia labiata,12,"jelly, jellyfish",Both
Emplectonema sp. 1 TCH-2015,12,undetermined,BEN
Hemigrapsus oregonensis,12,crab,BEN
Navicula glaciei,12,diatom,PLK
Navicula sp. BOLD:AAO6950,12,diatom,PLK
Phytophthora taxon paludosa,12,undetermined,None
Platynereis bicanaliculata,12,polychaete,BEN
Pyropia fallax,12,"algae, red",BEN
Pyropia haitanensis,12,"algae, red",BEN
Synchaeta pectinata,12,rotifer,BEN
Acrochaetium arcuatum,11,undetermined,BEN
Anisolpidium ectocarpii,11,undetermined,None
Leitoscoloplos pugettensis CMC01,11,polychaete,BEN
Petalonia fascia,11,"algae, brown",BEN
Pisaster ochraceus,11,undetermined,BEN
Pterosiphonia bipinnata,11,"algae, red",PLK
Rhodotorula taiwanensis,11,fungi,None
Asterionellopsis tropicalis,10,"algae, brown",PLK
Barantolla americana CMC01,10,polychaete,BEN
Boccardia proboscidea,10,polychaete,BEN
Chordariaceae sp. 2 AP-2014,10,"algae, brown",BEN
Ectocarpus siliculosus,10,algae,BEN
Halidrys siliquosa,10,"algae, brown",BEN
Karlodinium veneficum,10,flagellate,PLK
Lacuna vincta,10,undetermined,BEN
Littorina sitkana,10,undetermined,BEN
Mesocentrotus franciscanus,10,echinoderm,BEN
Nicolea zostericola,10,polychaete,BEN
Odonthalia floccosa,10,"algae, red",PLK
Orthopyxis integra,10,hydrozoan,Both
Penicillium rubens,10,fungi,None
Phacellophora camtschatica,10,"jelly, jellyfish",Both
Phytophthora riparia,10,undetermined,None
Alitta sp. CMC01,9,polychaete,BEN
Chaetoceros sp. MBTD-CMFRI-S045,9,diatom,PLK
Cylindrotheca fusiformis,9,diatom,BEN
Eucampia zodiacus,9,diatom,PLK
Gelidiophycus freshwateri,9,undetermined,BEN
Gymnodinium sp. NVA/RUS/2008,9,flagellate,BEN
Monocorophium acherusicum,9,undetermined,BEN
Nitzschia cf. recta RT-2009,9,diatom,PLK
Sarcodiotheca sp. 2gaudichaudii,9,undetermined,BEN
Thelepus sp. CMC01,9,polychaete,BEN
Amphicaryon earnesti,8,hydrozoan,PLK
Ceramium sp. 3Cal,8,undetermined,BEN
Devaleraea mollis,8,undetermined,BEN
Evasterias troschelii,8,undetermined,BEN
