sample,site,year,month,species,richness,nonnative
CP_201707,CP,2017,07,Pseudochattonella farcimen,1,1
CP_201708,CP,2017,08,Bougainvillia muscus,1,1
CP_201708,CP,2017,08,Pseudochattonella farcimen,1,1
CP_201709,CP,2017,09,Bougainvillia muscus,1,1
CP_201709,CP,2017,09,Pseudochattonella farcimen,1,1
CP_201710,CP,2017,10,Pseudochattonella farcimen,1,1
CP_201711,CP,2017,11,Pseudochattonella farcimen,1,1
FH_201710,FH,2017,10,Pseudochattonella farcimen,1,1
FH_201711,FH,2017,11,Pseudochattonella farcimen,1,1
FH_201807,FH,2018,07,Bougainvillia muscus,1,1
LK_201707,LK,2017,07,Pseudochattonella farcimen,1,1
LK_201708,LK,2017,08,Pseudochattonella farcimen,1,1
LK_201709,LK,2017,09,Pseudochattonella farcimen,1,1
LK_201710,LK,2017,10,Pseudochattonella farcimen,1,1
LK_201711,LK,2017,11,Pseudochattonella farcimen,1,1
LK_201801,LK,2018,01,Pseudochattonella farcimen,1,1
LK_201803,LK,2018,03,Nuttallia olivacea,1,1
LK_201803,LK,2018,03,Pseudochattonella farcimen,1,1
LL_201703,LL,2017,03,Callithamnion corymbosum,1,1
LL_201703,LL,2017,03,Caulacanthus ustulatus,1,1
LL_201703,LL,2017,03,Pseudochattonella farcimen,1,1
LL_201703,LL,2017,03,Ruditapes philippinarum,1,1
LL_201705,LL,2017,05,Caulacanthus ustulatus,1,1
LL_201705,LL,2017,05,Crassostrea gigas,1,1
LL_201705,LL,2017,05,Gracilaria vermiculophylla,1,1
LL_201705,LL,2017,05,Nuttallia olivacea,1,1
LL_201705,LL,2017,05,Pseudochattonella farcimen,1,1
LL_201705,LL,2017,05,Pyropia haitanensis,1,1
LL_201706,LL,2017,06,Gracilaria vermiculophylla,1,1
LL_201706,LL,2017,06,Mya arenaria,1,1
LL_201706,LL,2017,06,Nuttallia olivacea,1,1
LL_201706,LL,2017,06,Pseudochattonella farcimen,1,1
LL_201707,LL,2017,07,Callithamnion corymbosum,1,1
LL_201707,LL,2017,07,Crassostrea gigas,1,1
LL_201707,LL,2017,07,Gracilaria vermiculophylla,1,1
LL_201707,LL,2017,07,Monocorophium acherusicum,1,1
LL_201707,LL,2017,07,Pseudochattonella farcimen,1,1
LL_201708,LL,2017,08,Crassostrea gigas,1,1
LL_201708,LL,2017,08,Gracilaria vermiculophylla,1,1
LL_201708,LL,2017,08,Mya arenaria,1,1
LL_201708,LL,2017,08,Mytilicola orientalis,1,1
LL_201708,LL,2017,08,Nitokra spinipes,1,1
LL_201708,LL,2017,08,Pseudochattonella farcimen,1,1
LL_201708,LL,2017,08,Pyropia haitanensis,1,1
LL_201708,LL,2017,08,Ruditapes philippinarum,1,1
LL_201709,LL,2017,09,Botrylloides violaceus,1,1
LL_201709,LL,2017,09,Caulacanthus ustulatus,1,1
LL_201709,LL,2017,09,Gelidiophycus freshwateri,1,1
LL_201709,LL,2017,09,Gracilaria vermiculophylla,1,1
LL_201709,LL,2017,09,Pseudochattonella farcimen,1,1
LL_201709,LL,2017,09,Ruditapes philippinarum,1,1
LL_201710,LL,2017,10,Pseudochattonella farcimen,1,1
LL_201711,LL,2017,11,Caulacanthus ustulatus,1,1
LL_201711,LL,2017,11,Gracilaria vermiculophylla,1,1
LL_201711,LL,2017,11,Nuttallia olivacea,1,1
LL_201711,LL,2017,11,Pseudochattonella farcimen,1,1
LL_201711,LL,2017,11,Ruditapes philippinarum,1,1
LL_201803,LL,2018,03,Gracilaria vermiculophylla,1,1
LL_201803,LL,2018,03,Pseudochattonella farcimen,1,1
LL_201805,LL,2018,05,Callithamnion corymbosum,1,1
LL_201805,LL,2018,05,Caulacanthus ustulatus,1,1
LL_201805,LL,2018,05,Lomentaria hakodatensis,1,1
LL_201805,LL,2018,05,Pseudochattonella farcimen,1,1
LL_201805,LL,2018,05,Pyropia haitanensis,1,1
LL_201807,LL,2018,07,Callithamnion corymbosum,1,1
LL_201807,LL,2018,07,Gelidium vagum,1,1
LL_201807,LL,2018,07,Nuttallia olivacea,1,1
LL_201807,LL,2018,07,Pseudochattonella farcimen,1,1
PO_201703,PO,2017,03,Gracilaria vermiculophylla,1,1
PO_201703,PO,2017,03,Pseudochattonella farcimen,1,1
PO_201703,PO,2017,03,Ruditapes philippinarum,1,1
PO_201705,PO,2017,05,Gracilaria vermiculophylla,1,1
PO_201705,PO,2017,05,Nuttallia olivacea,1,1
PO_201705,PO,2017,05,Pseudochattonella farcimen,1,1
PO_201706,PO,2017,06,Gracilaria vermiculophylla,1,1
PO_201706,PO,2017,06,Monocorophium acherusicum,1,1
PO_201706,PO,2017,06,Musculista senhousia,1,1
PO_201706,PO,2017,06,Nuttallia olivacea,1,1
PO_201706,PO,2017,06,Pseudochattonella farcimen,1,1
PO_201706,PO,2017,06,Ruditapes philippinarum,1,1
PO_201707,PO,2017,07,Caulacanthus ustulatus,1,1
PO_201707,PO,2017,07,Crassostrea gigas,1,1
PO_201707,PO,2017,07,Gracilaria vermiculophylla,1,1
PO_201707,PO,2017,07,Monocorophium acherusicum,1,1
PO_201707,PO,2017,07,Pseudochattonella farcimen,1,1
PO_201707,PO,2017,07,Ruditapes philippinarum,1,1
PO_201708,PO,2017,08,Botrylloides violaceus,1,1
PO_201708,PO,2017,08,Caulacanthus ustulatus,1,1
PO_201708,PO,2017,08,Crassostrea gigas,1,1
PO_201708,PO,2017,08,Gelidiophycus freshwateri,1,1
PO_201708,PO,2017,08,Gracilaria vermiculophylla,1,1
PO_201708,PO,2017,08,Lomentaria hakodatensis,1,1
PO_201708,PO,2017,08,Monocorophium acherusicum,1,1
PO_201708,PO,2017,08,Pseudochattonella farcimen,1,1
PO_201709,PO,2017,09,Caulacanthus ustulatus,1,1
PO_201709,PO,2017,09,Crassostrea gigas,1,1
PO_201709,PO,2017,09,Gracilaria vermiculophylla,1,1
PO_201709,PO,2017,09,Pseudochattonella farcimen,1,1
PO_201709,PO,2017,09,Ruditapes philippinarum,1,1
PO_201711,PO,2017,11,Callithamnion corymbosum,1,1
PO_201711,PO,2017,11,Gracilaria vermiculophylla,1,1
PO_201711,PO,2017,11,Pseudochattonella farcimen,1,1
PO_201711,PO,2017,11,Ruditapes philippinarum,1,1
PO_201801,PO,2018,01,Ruditapes philippinarum,1,1
PO_201803,PO,2018,03,Callithamnion corymbosum,1,1
PO_201805,PO,2018,05,Gracilaria vermiculophylla,1,1
PO_201805,PO,2018,05,Stenhelia pubescens,1,1
PO_201807,PO,2018,07,Gracilaria vermiculophylla,1,1
PO_201807,PO,2018,07,Monocorophium acherusicum,1,1
PO_201807,PO,2018,07,Nuttallia olivacea,1,1
PO_201807,PO,2018,07,Pseudochattonella farcimen,1,1
SA_201705,SA,2017,05,Nuttallia olivacea,1,1
SA_201705,SA,2017,05,Pyropia haitanensis,1,1
SA_201706,SA,2017,06,Mya arenaria,1,1
SA_201706,SA,2017,06,Nuttallia olivacea,1,1
SA_201706,SA,2017,06,Pseudochattonella farcimen,1,1
SA_201706,SA,2017,06,Pyropia haitanensis,1,1
SA_201706,SA,2017,06,Ruditapes philippinarum,1,1
SA_201707,SA,2017,07,Pseudochattonella farcimen,1,1
SA_201708,SA,2017,08,Monocorophium acherusicum,1,1
SA_201708,SA,2017,08,Pseudochattonella farcimen,1,1
SA_201709,SA,2017,09,Callithamnion corymbosum,1,1
SA_201709,SA,2017,09,Caulacanthus ustulatus,1,1
SA_201709,SA,2017,09,Gracilaria vermiculophylla,1,1
SA_201709,SA,2017,09,Melanothamnus harveyi,1,1
SA_201709,SA,2017,09,Pseudochattonella farcimen,1,1
SA_201711,SA,2017,11,Pseudochattonella farcimen,1,1
SA_201711,SA,2017,11,Pyropia haitanensis,1,1
SA_201801,SA,2018,01,Caulacanthus ustulatus,1,1
SA_201801,SA,2018,01,Pseudochattonella farcimen,1,1
SA_201803,SA,2018,03,Pseudochattonella farcimen,1,1
SA_201805,SA,2018,05,Caulacanthus ustulatus,1,1
SA_201805,SA,2018,05,Gracilaria vermiculophylla,1,1
SA_201805,SA,2018,05,Pyropia haitanensis,1,1
SA_201807,SA,2018,07,Gracilaria vermiculophylla,1,1
SA_201807,SA,2018,07,Pseudochattonella farcimen,1,1
SA_201807,SA,2018,07,Ruditapes philippinarum,1,1
TR_201703,TR,2017,03,Pseudochattonella farcimen,1,1
TR_201703,TR,2017,03,Ruditapes philippinarum,1,1
TR_201705,TR,2017,05,Caulacanthus ustulatus,1,1
TR_201705,TR,2017,05,Gelidiophycus freshwateri,1,1
TR_201705,TR,2017,05,Gracilaria vermiculophylla,1,1
TR_201705,TR,2017,05,Hediste diadroma,1,1
TR_201705,TR,2017,05,Monocorophium acherusicum,1,1
TR_201705,TR,2017,05,Pseudochattonella farcimen,1,1
TR_201706,TR,2017,06,Callithamnion corymbosum,1,1
TR_201706,TR,2017,06,Caulacanthus ustulatus,1,1
TR_201706,TR,2017,06,Crassostrea gigas,1,1
TR_201706,TR,2017,06,Gelidiophycus freshwateri,1,1
TR_201706,TR,2017,06,Gracilaria vermiculophylla,1,1
TR_201706,TR,2017,06,Nuttallia olivacea,1,1
TR_201706,TR,2017,06,Pseudochattonella farcimen,1,1
TR_201707,TR,2017,07,Botrylloides violaceus,1,1
TR_201707,TR,2017,07,Crassostrea gigas,1,1
TR_201707,TR,2017,07,Gelidiophycus freshwateri,1,1
TR_201707,TR,2017,07,Gracilaria vermiculophylla,1,1
TR_201707,TR,2017,07,Pseudochattonella farcimen,1,1
TR_201707,TR,2017,07,Ruditapes philippinarum,1,1
TR_201708,TR,2017,08,Callithamnion corymbosum,1,1
TR_201708,TR,2017,08,Caulacanthus ustulatus,1,1
TR_201708,TR,2017,08,Crassostrea gigas,1,1
TR_201708,TR,2017,08,Gracilaria vermiculophylla,1,1
TR_201708,TR,2017,08,Pseudochattonella farcimen,1,1
TR_201708,TR,2017,08,Ruditapes philippinarum,1,1
TR_201709,TR,2017,09,Caulacanthus ustulatus,1,1
TR_201709,TR,2017,09,Gracilaria vermiculophylla,1,1
TR_201709,TR,2017,09,Monocorophium acherusicum,1,1
TR_201709,TR,2017,09,Nuttallia olivacea,1,1
TR_201709,TR,2017,09,Pseudochattonella farcimen,1,1
TR_201709,TR,2017,09,Ruditapes philippinarum,1,1
TR_201711,TR,2017,11,Botrylloides violaceus,1,1
TR_201711,TR,2017,11,Callithamnion corymbosum,1,1
TR_201711,TR,2017,11,Caulacanthus ustulatus,1,1
TR_201711,TR,2017,11,Gelidiophycus freshwateri,1,1
