"","sample","site","date","species","nReads","Hash","kingdom","phylum","class","order","family","genus","EarlyLifeMinerology","AdultMinerology","reliability.minerology","trophic_level_fv","group_fv","benthos"
"1","CP_201706","CP","_201706","Orthocladius sp. BOLD-2016",993,"2a467913d5751f2ac544ca7bba4b09ed0813def5","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","Orthocladius",NA,NA,NA,"3, insect","fly","None"
"2","CP_201707","CP","_201707","Chrysonoma sp. ANIC15",6,"3b86a8af70ee3ae734e65aed41f36d6169e3f60a","Metazoa","Arthropoda","Insecta","Lepidoptera","Oecophoridae","Chrysonoma",NA,NA,NA,"3, insect","undetermined","None"
"3","CP_201708","CP","_201708","Loxothylacus panopaei",73,"50d5a9979ab596712cae09ab233c9081bb56bfa8","Metazoa","Arthropoda","Hexanauplia","Kentrogonida","Sacculinidae","Loxothylacus","High Mg Calcite","High Mg Calcite","species","undetermined","undetermined","None"
"4","CP_201709","CP","_201709","Homo sapiens",48,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"5","CP_201710","CP","_201710","Homo sapiens",1144,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"6","CP_201710","CP","_201710","Urile penicillatus",2175,"1b77eab6ffdc983da74857df2b9c3a1e1aab8029","Metazoa","Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Urile","Vertebrate","Vertebrate","family","undetermined","undetermined","None"
"7","CP_201711","CP","_201711","Carcinonemertes errans",53,"e6903b14e2e8e86a670dd45cfec4f2dd60bf41ce","Metazoa","Nemertea","Enopla","Monostilifera","Carcinonemertidae","Carcinonemertes",NA,NA,NA,"undetermined","undetermined","None"
"8","CP_201711","CP","_201711","Homo sapiens",238,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"9","CP_201711","CP","_201711","Phoca vitulina",4,"24067aaaff3572d8d40b6c82d133203279e26495","Metazoa","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Vertebrate","Vertebrate","species","undetermined","undetermined","None"
"10","CP_201801","CP","_201801","Homo sapiens",36,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"11","CP_201803","CP","_201803","Homo sapiens",748,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"12","CP_201803","CP","_201803","Orthocladius sp. BOLD-2016",11,"2a467913d5751f2ac544ca7bba4b09ed0813def5","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","Orthocladius",NA,NA,NA,"3, insect","fly","None"
"13","CP_201805","CP","_201805","Homo sapiens",1739,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"14","CP_201807","CP","_201807","Chrysonoma sp. ANIC15",134,"3b86a8af70ee3ae734e65aed41f36d6169e3f60a","Metazoa","Arthropoda","Insecta","Lepidoptera","Oecophoridae","Chrysonoma",NA,NA,NA,"3, insect","undetermined","None"
"15","CP_201807","CP","_201807","Homo sapiens",300,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"16","FH_201707","FH","_201707","Homo sapiens",8,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"17","FH_201708","FH","_201708","Chrysonoma sp. ANIC15",54,"3b86a8af70ee3ae734e65aed41f36d6169e3f60a","Metazoa","Arthropoda","Insecta","Lepidoptera","Oecophoridae","Chrysonoma",NA,NA,NA,"3, insect","undetermined","None"
"18","FH_201708","FH","_201708","Homo sapiens",21,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
