species,sample,eDNA_index
Acartia longiremis,CP_201706,0.108632497249059
Acartia longiremis,CP_201707,0.379864935255677
Acartia longiremis,CP_201708,0.269399157774148
Acartia longiremis,CP_201709,0
Acartia longiremis,CP_201710,0
Acartia longiremis,CP_201711,6.73528687117789e-4
Acartia longiremis,CP_201801,0
Acartia longiremis,CP_201803,0.108161939791554
Acartia longiremis,CP_201805,0.14973997889227
Acartia longiremis,CP_201807,0.227726904259929
Acartia longiremis,FH_201706,0.377239358572287
Acartia longiremis,FH_201707,0.683180161499406
Acartia longiremis,FH_201708,0.0270734050170279
Acartia longiremis,FH_201709,0.0408981632968209
Acartia longiremis,FH_201710,0.581041181066739
Acartia longiremis,FH_201711,0
Acartia longiremis,FH_201801,0
Acartia longiremis,FH_201803,0.530567246965982
Acartia longiremis,FH_201805,0.732544980209134
Acartia longiremis,FH_201807,1
Acartia longiremis,LK_201706,4.21446440589863e-4
Acartia longiremis,LK_201707,0.828145868732651
Acartia longiremis,LK_201708,0.0367285445711589
Acartia longiremis,LK_201709,0.524231433332643
Acartia longiremis,LK_201710,0.121126234210268
Acartia longiremis,LK_201711,0
Acartia longiremis,LK_201801,0
Acartia longiremis,LK_201803,0.205243545034264
Acartia longiremis,LK_201805,0.385035618898078
Acartia longiremis,LK_201807,0.498501399848964
Acartia longiremis,LL_201703,0
Acartia longiremis,LL_201705,0
Acartia longiremis,LL_201706,0
Acartia longiremis,LL_201707,0
Acartia longiremis,LL_201708,0
Acartia longiremis,LL_201709,0
Acartia longiremis,LL_201710,0
Acartia longiremis,LL_201711,0.0358729855189562
Acartia longiremis,LL_201801,0
Acartia longiremis,LL_201803,0
Acartia longiremis,LL_201805,0
Acartia longiremis,LL_201807,0
Acartia longiremis,PO_201703,0
Acartia longiremis,PO_201705,0.00638222443494813
Acartia longiremis,PO_201706,0
Acartia longiremis,PO_201707,0
Acartia longiremis,PO_201708,0
Acartia longiremis,PO_201709,0
Acartia longiremis,PO_201711,2.22428391307357e-4
Acartia longiremis,PO_201801,0
Acartia longiremis,PO_201803,0
Acartia longiremis,PO_201805,0
Acartia longiremis,PO_201807,0
Acartia longiremis,SA_201703,0
Acartia longiremis,SA_201705,0.00365340904526222
Acartia longiremis,SA_201706,0
Acartia longiremis,SA_201707,0
Acartia longiremis,SA_201708,0
Acartia longiremis,SA_201709,0
Acartia longiremis,SA_201711,0
Acartia longiremis,SA_201801,0.00134822931027684
Acartia longiremis,SA_201803,0
Acartia longiremis,SA_201805,0.0135447829631301
