"","sample","site","year","month","n_detections","region","season","all_sp_detections","prop_nn"
"1","CP_201706","CP","2017","06",0,"SJI","warm",89,0
"2","CP_201707","CP","2017","07",1,"SJI","warm",78,0.0128205128205128
"3","CP_201708","CP","2017","08",2,"SJI","warm",61,0.0327868852459016
"4","CP_201709","CP","2017","09",2,"SJI","warm",53,0.0377358490566038
"5","CP_201710","CP","2017","10",1,"SJI","cool",92,0.0108695652173913
"6","CP_201711","CP","2017","11",1,"SJI","cool",89,0.0112359550561798
"7","CP_201801","CP","2018","01",0,"SJI","cool",47,0
"8","CP_201803","CP","2018","03",0,"SJI","cool",73,0
"9","CP_201805","CP","2018","05",0,"SJI","warm",101,0
"10","CP_201807","CP","2018","07",0,"SJI","warm",96,0
"11","FH_201706","FH","2017","06",0,"SJI","warm",56,0
"12","FH_201707","FH","2017","07",0,"SJI","warm",68,0
"13","FH_201708","FH","2017","08",0,"SJI","warm",106,0
"14","FH_201709","FH","2017","09",0,"SJI","warm",99,0
"15","FH_201710","FH","2017","10",1,"SJI","cool",58,0.0172413793103448
"16","FH_201711","FH","2017","11",2,"SJI","cool",65,0.0307692307692308
"17","FH_201801","FH","2018","01",0,"SJI","cool",48,0
"18","FH_201803","FH","2018","03",0,"SJI","cool",52,0
"19","FH_201805","FH","2018","05",0,"SJI","warm",75,0
"20","FH_201807","FH","2018","07",1,"SJI","warm",46,0.0217391304347826
"21","LK_201706","LK","2017","06",0,"SJI","warm",100,0
"22","LK_201707","LK","2017","07",1,"SJI","warm",91,0.010989010989011
"23","LK_201708","LK","2017","08",1,"SJI","warm",105,0.00952380952380952
"24","LK_201709","LK","2017","09",1,"SJI","warm",96,0.0104166666666667
"25","LK_201710","LK","2017","10",1,"SJI","cool",86,0.0116279069767442
"26","LK_201711","LK","2017","11",1,"SJI","cool",79,0.0126582278481013
"27","LK_201801","LK","2018","01",1,"SJI","cool",39,0.0256410256410256
"28","LK_201803","LK","2018","03",2,"SJI","cool",88,0.0227272727272727
"29","LK_201805","LK","2018","05",0,"SJI","warm",74,0
"30","LK_201807","LK","2018","07",0,"SJI","warm",90,0
"31","LL_201703","LL","2017","03",4,"HC","cool",54,0.0740740740740741
"32","LL_201705","LL","2017","05",6,"HC","warm",58,0.103448275862069
"33","LL_201706","LL","2017","06",4,"HC","warm",42,0.0952380952380952
"34","LL_201707","LL","2017","07",5,"HC","warm",44,0.113636363636364
"35","LL_201708","LL","2017","08",8,"HC","warm",41,0.195121951219512
"36","LL_201709","LL","2017","09",6,"HC","warm",58,0.103448275862069
"37","LL_201710","LL","2017","10",1,"HC","cool",19,0.0526315789473684
"38","LL_201711","LL","2017","11",5,"HC","cool",56,0.0892857142857143
"39","LL_201801","LL","2018","01",0,"HC","cool",31,0
"40","LL_201803","LL","2018","03",2,"HC","cool",47,0.0425531914893617
"41","LL_201805","LL","2018","05",5,"HC","warm",56,0.0892857142857143
"42","LL_201807","LL","2018","07",4,"HC","warm",50,0.08
"43","PO_201703","PO","2017","03",3,"HC","cool",56,0.0535714285714286
"44","PO_201705","PO","2017","05",3,"HC","warm",38,0.0789473684210526
"45","PO_201706","PO","2017","06",6,"HC","warm",60,0.1
"46","PO_201707","PO","2017","07",6,"HC","warm",40,0.15
