species,n_detections
NA,86
Micromonas pusilla,85
Thalassiosira nordenskioeldii,85
Minutocellus polymorphus,84
Bathycoccus prasinos,80
Cylindrotheca closterium,79
Rhizosolenia setigera,78
Dictyocha speculum,73
Triparma laevis,73
Phaeocystis antarctica,66
Chaetoceros socialis,65
Emiliania huxleyi,63
Ditylum brightwellii,62
Paracalanus sp. C AC-2013,62
Chattonella subsalsa,61
Coscinodiscus wailesii,61
Chrysochromulina sp. CCMP291,60
Poteriospumella lacustris,60
Pseudochattonella farcimen,59
Skeletonema dohrnii,59
Navicula cryptocephala,58
Thalassionema nitzschioides,57
Nitzschia cf. promare,55
Phaeocystis globosa,55
Heterocapsa rotundata,53
Balanus glandula,49
Attheya longicornis,48
Pycnococcus provasolii,46
Skeletonema japonicum,46
Thalassiosira punctigera,46
Littorina plena,44
Protoperidinium cf. depressum,44
Calanus pacificus,40
Pseudocalanus newmani,39
Lottia paradigitalis,36
Centropages abdominalis,35
Gracilaria vermiculophylla,34
Hincksia hincksiae,34
Acartia longiremis,33
Balanus balanus,33
Halichondria panicea,32
Chthamalus dalli,31
Hematodinium sp.,31
Mytilus trossulus,31
Ostrea lurida,31
Pedospumella sinomuralis,31
Dendraster excentricus,30
Navicula sp. BOLD:AAO6951,30
Membranipora membranacea,28
Pinnularia sp. 5 CS-2011,28
Asterionellopsis guyunusae,27
Melosira nummuloides,26
Cliona chilensis,25
Harpacticoida sp. DNZ085,25
Pseudo-nitzschia hasleana,25
Ruditapes philippinarum,25
Pyramimonas parkeae,24
Caulacanthus ustulatus,23
Aequorea sp. MW-2012,22
Chondracanthus exasperatus,22
Plagiogramma sp. IAL-2014a,22
Pseudo-nitzschia delicatissima,22
Ralfsioid sp. 4GWS,22
Chordariaceae sp. 7 AP-2014,21
Dolichomastix tenuilepis,21
Mazzaella splendens,21
Prasinoderma coloniale,21
Saxidomus gigantea,21
Thecamonas trahens,21
Cymbomonas tetramitiformis,20
Brachionidae sp. SHYT150702c,19
Corallina vancouveriensis,19
Grammonema striatula,19
Paramoeba pemaquidensis,19
Semibalanus cariosus,19
Stelligera rigida,19
Hecatonema maculans,18
Parvamoeba rugata,18
Thelepus crispus,18
Fucus distichus,17
Hildenbrandia sp. 27GWS,17
Nereis vexillosa,17
Nuttallia olivacea,17
Chaetoceros sp. MBTD-CMFRI-S062,16
Laminariocolax aecidioides,16
Muggiaea atlantica,16
Nereocystis luetkeana,16
Polysiphonia hendryi,16
Porichthys notatus,16
Stephanopyxis turris,16
Gomphonema clevei,15
Leathesia marina,15
Littorina scutulata,15
Neorhodomela oregona,15
Nitzschia longissima,15
Platynereis sp. CMC02,15
Scopalina ruetzleri,15
Strongylocentrotus droebachiensis,15
Wildemania sp. 5POR,15
Sellaphora pupula,14
Skeletonema cf. pseudocostatum,14
Asterionellopsis glacialis,13
Azumapecten farreri,13
Callithamnion corymbosum,13
Clytia gracilis,13
Crassostrea gigas,13
Macoma nasuta,13
Navicula ramosissima,13
Oncorhynchus keta,13
Podosira stelligera,13
Pseudocalanus moultoni,13
Smithora naiadum,13
Wildemania amplissima,13
Aurelia labiata,12
Emplectonema sp. 1 TCH-2015,12
Hemigrapsus oregonensis,12
Navicula glaciei,12
Navicula sp. BOLD:AAO6950,12
Platynereis bicanaliculata,12
Pyropia fallax,12
Pyropia haitanensis,12
Synchaeta pectinata,12
Acrochaetium arcuatum,11
Leitoscoloplos pugettensis CMC01,11
Petalonia fascia,11
Pisaster ochraceus,11
Pterosiphonia bipinnata,11
Asterionellopsis tropicalis,10
Barantolla americana CMC01,10
Boccardia proboscidea,10
Chordariaceae sp. 2 AP-2014,10
Ectocarpus siliculosus,10
Halidrys siliquosa,10
Karlodinium veneficum,10
Lacuna vincta,10
Littorina sitkana,10
Mesocentrotus franciscanus,10
Nicolea zostericola,10
Odonthalia floccosa,10
Orthopyxis integra,10
Phacellophora camtschatica,10
Alitta sp. CMC01,9
Chaetoceros sp. MBTD-CMFRI-S045,9
Cylindrotheca fusiformis,9
