"sample","species","nReads","totalReads","propReads","eDNA_index","log_index"
"CP_201706","Acartia longiremis",2462,237882,0.010349669163703,0.108632497249059,-2.21978467822427
"CP_201706","Acrochaetium arcuatum",28,237882,0.00011770541697144,0.153869918606286,-1.87164771789014
"CP_201706","Aequorea sp. MW-2012",630,237882,0.00264837188185739,0.0751947905878345,-2.58767332452385
"CP_201706","Apodachlya minima",57,237882,0.000239614598834716,0.182218671377964,-1.70254782203042
"CP_201706","Asterionellopsis guyunusae",5,237882,2.10188244591856e-05,0.00672041084540769,-5.00260598860643
"CP_201706","Attheya longicornis",61,237882,0.000256429658402065,0.00894079296276969,-4.71713099543379
"CP_201706","Aurelia labiata",131,237882,0.000550693200830664,0.00490220778839707,-5.31806960628069
"CP_201706","Balanus balanus",4606,237882,0.0193625410918018,0.296814264059066,-1.21464870934553
"CP_201706","Bathycoccus prasinos",22925,237882,0.0963713101453662,0.21497721582212,-1.53722322939037
"CP_201706","Blastocladiella emersonii",82,237882,0.000344708721130645,0.147382950677064,-1.91472097296526
"CP_201706","Chaetoceros socialis",4061,237882,0.0170714892257506,0.043835438663022,-3.12731268685075
"CP_201706","Chaetoceros sp. MBTD-CMFRI-S045",483,237882,0.00203041844275733,1,0
"CP_201706","Chattonella subsalsa",41,237882,0.000172354360565322,0.00409417160939785,-5.49819087532847
"CP_201706","Chordariaceae sp. 7 AP-2014",43,237882,0.000180761890348997,0.0330431489585233,-3.40994102740947
"CP_201706","Chrysochromulina sp. CCMP291",9,237882,3.78338840265342e-05,0.0107231170852,-4.53535339273259
"CP_201706","Clytia folleata",28,237882,0.00011770541697144,0.0252308225620071,-3.67968891432368
"CP_201706","Clytia gracilis",360,237882,0.00151335536106137,0.134343774030389,-2.0073532864132
"CP_201706","Corallina vancouveriensis",622,237882,0.00261474176272269,0.0685745129871685,-2.67983434408426
"CP_201706","Coscinodiscus wailesii",35,237882,0.0001471317712143,0.000709254122367324,-7.2512966720013
"CP_201706","Cylindrotheca closterium",173,237882,0.000727251326287823,0.0182891406265438,-4.00144780365679
"CP_201706","Devaleraea mollis",19,237882,7.98715329449055e-05,0.043159331622401,-3.14285662475472
"CP_201706","Dictyocha speculum",33,237882,0.000138724241430625,0.00665761484016231,-5.01199399068222
"CP_201706","Ditylum brightwellii",299,237882,0.0012569257026593,0.0821750568843914,-2.49890346719733
"CP_201706","Dodecaceria sp. CMC01",309,237882,0.00129896335157767,1,0
"CP_201706","Emiliania huxleyi",8,237882,3.3630119134697e-05,7.01685776984142e-05,-9.56460995827398
"CP_201706","Grammonema striatula",1858,237882,0.00781059516903339,0.282056295795411,-1.26564859748735
"CP_201706","Halichondria panicea",18,237882,7.56677680530683e-05,0.00140882425646908,-6.56499978310747
"CP_201706","Hecatonema maculans",139,237882,0.000584323319965361,0.0316306140870871,-3.45362982714906
