species,nonnative,Hash
Micromonas pusilla,0,6f98e637735b187cd156c79b8f022a0bc63d5fc5
Thalassiosira nordenskioeldii,0,391312bf9c2c070b0d1afdbc609959fec1c1773a
Cylindrotheca closterium,0,d6639cd7025a587235583eed56bedf8178f0de32
Rhizosolenia setigera,0,e5161e0442a32475dc05ba2d3a1cbd430f4a2035
Dictyocha speculum,0,43cdd9bcff01e80713af243417de400f0b175a07
Dictyocha speculum,0,e612cd1d28af77c2378a9fd9f8e53f591f58f991
Triparma laevis,0,74bd536a982117e99a75e40240e0e3b1b1f81a5c
Phaeocystis antarctica,0,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25
Phaeocystis antarctica,0,c6300747deca82826d4415110e0a0a55e293d9f0
Chaetoceros socialis,0,5846d022f4dc9c22f746488ff272c67a14358bc7
Pythium tracheiphilum,0,NA
Emiliania huxleyi,0,8a1c9da427aa6f155aaa44acd2708f79db93e1d1
Emiliania huxleyi,0,ca3704dce2d78f94bdfb30d96ed89a4cb501024b
Homo sapiens,0,9ebd0bcbae3f4ee1f10ba13d858e85af17744e67
Ditylum brightwellii,0,ce4b631f7197a9ae1a25a7669453176e10d5856a
Navicula cryptocephala,0,NA
Thalassionema nitzschioides,0,f2c557df3514fc8e0ed431a8826155df05706c32
Heterocapsa rotundata,0,49f3860c3bfcdf72fae55203367fb01a5a27ca53
Balanus glandula,0,c907c65a3f2fd0860df1a1aeaab627e301caebe1
Balanus glandula,0,2eb773a13de7887b9598bc2cb106413dbe9424d4
Balanus glandula,0,e88f257a811ab64fae1ab888fb3476aa6b16127c
Thalassiosira punctigera,0,6667a9090bbbf900fc104f144a3f52c731a6e20a
Littorina plena,0,94d2f86435d8ddbb6dfd2b7dca137a7f99f242f7
Protoperidinium cf. depressum,0,9f2926db5af58c811ee6a0536f3190b206b3f087
Calanus pacificus,0,5a833e0a478a012b2b934b19b76eb311d63cf891
Pseudocalanus newmani,0,17585e5fc601ba25d02d211cce3435af5a395c4d
Lottia paradigitalis,0,1512fb986e928b71536f7dadab1590b7323f5443
Lottia paradigitalis,0,3f007703a93914cb5b5e0171f9c17ce5b30b401a
Centropages abdominalis,0,b8f4c7ca84715db8927c1fa502603a55d471c55c
Acartia longiremis,0,7310dcc0eabb15f0cde907e72f2aafb52096d131
Balanus balanus,0,be0ddad0b16e41e7d320f7fa2d88b354fae1d60d
Balanus balanus,0,bf29f9521ac8b4e29fed34b15c9e6d2ff548be57
Balanus balanus,0,def7571b9cdeb6c938dfb7d22b0a793f6a588aca
Halichondria panicea,0,16c473a37914586edcb17e46b9b0b31cf77735f4
Halichondria panicea,0,cca5f41045b0a61fb8e919016701b50f441cd401
Saprolegnia diclina,0,NA
Chthamalus dalli,0,c8b11f6f6ea91f5e8d6982c7e6ecddb643d93f2f
Chthamalus dalli,0,7d6cf91b6f114db7a8c61eeea9b3131ca9c129d3
Chthamalus dalli,0,04077646aa04c82cf3b4f48f97357ab22a639819
Chthamalus dalli,0,dc623066ed985c38d9b247d54524b311fa74c746
Hematodinium sp.,0,449191325f3041ac38ee930757b92a531f859f79
Mytilus trossulus,0,af173684c45c00bedbb6cfdac084494050c4b315
Mytilus trossulus,0,ca0c6c77a396bfa80b2ff044eb300cdc6cfe46d8
Mytilus trossulus,0,d4f4af9274778a50e48c6f66a6219ed20d8d535a
Mytilus trossulus,0,f3f98b86fede5a24c54d9d3757362f2445207d94
Mytilus trossulus,0,4a8d975e3ce13510b323bccc90d38d0475b02c94
Mytilus trossulus,0,290184081ef2eda09191614768091c476593272f
Mytilus trossulus,0,da6eb25c083150d4daf3407db0ca8876d32a3a9a
Mytilus trossulus,0,3079a9ed6fd45c782bf9d0cffb124748f7dd94d7
Ostrea lurida,0,a0806a52e9bfe457c39848af06ac1b37bb883853
Ostrea lurida,0,cedfd8e3aa1835541f5c4841fc86dbb967d9800c
Dendraster excentricus,0,1609a4575da1e7f70557c208fe92f4f37e3a027d
Dendraster excentricus,0,ecd49d946e17684c39f30b9b6f2502fa1675e256
Dendraster excentricus,0,0a6e4b003f5acde447f36aa9f45c761aac32f181
Lichtheimia ramosa,0,NA
Blastocladiella emersonii,0,NA
Membranipora membranacea,0,3cd7ffe0e7e2ebb06b146418a6ca394477c6454f
Membranipora membranacea,0,ac0fa47f07e85763034396c16b2614feb418767b
Membranipora membranacea,0,be4750597645c2d51986e9d42d5cd1c98fd63948
Membranipora membranacea,0,08a95a0f3c88759746909c7af0a6306e27a054c3
Pythium pachycaule,0,NA
Pseudo-nitzschia hasleana,0,4e584bddfd0f137937ad3cf9dcb09560936aa6e2
Pyramimonas parkeae,0,NA
Chondracanthus exasperatus,0,0d69e93482c776c5619300f4d157be03c4c4051f
Pseudo-nitzschia delicatissima,0,d40b7574c01ee56d73eb6dc25f544a9b1e04c865
Dolichomastix tenuilepis,0,24b292e98a0a8a948b90ea9afe8d86f1aab85925
Mazzaella splendens,0,3b11e92c14ed44d964d5ef6d57a10811967ff690
Mazzaella splendens,0,e6e5abd74e5054080c9b7e680a404d488242d52a
Saxidomus gigantea,0,33eff76a75d9ecf46be0c30ebf4860bab8f9b842
Saxidomus gigantea,0,8de8b48837c7c4dfd482f7a8a261ed203222fc9a
Corallina vancouveriensis,0,43753f4ea280874a1df46682d8919b98ea0b7dfb
Corallina vancouveriensis,0,9c38cf57434c6790d94ce2e6587c1b4e3805fc15
Pythium sp. CAL-2011c,0,NA
Semibalanus cariosus,0,e56397b8e570129548d432a793614ba77c8a0b74
Semibalanus cariosus,0,046c0e222effb13acf1e601bbeff8e97407bf1a5
Semibalanus cariosus,0,c1d7f31a4ab09afba13388216405be6210f9de88
Thelepus crispus,0,73c80654aa649f25295efe54e76d315baa4b08fb
Fucus distichus,0,2ab67b2fda0e32aed8092f56d51213601b7999a9
Nereis vexillosa,0,035c135c2b278606c468c37d9e45bda43f053d70
Muggiaea atlantica,0,67699186f2500d9fed3b98c89a41824904dec096
Nereocystis luetkeana,0,47c7ddbe04be4633c912c4f90d3c34136e0bb992
Polysiphonia hendryi,0,ac0b62928cd9e48b5dd97908cc73b19a98c30370
Porichthys notatus,0,ec5cd74d72357ca76a3f22758951d31787ac9011
Stephanopyxis turris,0,1dd0877fe62a2372afb11c17e5ab2f19da812782
Gomphonema clevei,0,NA
Leathesia marina,0,6da8e4419e0e8a11995977144108fd3f93f5fe55
Littorina scutulata,0,c50eff2015daa84cb9649c08c265532c76af0f65
Neorhodomela oregona,0,ec572e64d103ee04ff859035188660969d7ed544
Nitzschia longissima,0,682f91d9a735416ae4c048d3321d210adf363d65
Penicillium sclerotiorum,0,75a32ac0ca5bb5c4393d6281232396dfb6e6f590
Strongylocentrotus droebachiensis,0,45450ae32e7241c4f9ff1d77a183517eabc1c8dc
Phytophthora multivora,0,NA
Sellaphora pupula,0,e068f4d9b88be8ab60872aafa09f089d8e7562e4
Albugo candida,0,NA
Apodachlya minima,0,NA
Asterionellopsis glacialis,0,8cdc86e1938f88ff8379a39f9da5e8a403259c2f
Clytia gracilis,0,NA
Macoma nasuta,0,10238902d3e2bf02944c188fab744d51e1af6b8f
Navicula ramosissima,0,NA
Oncorhynchus keta,0,5849e601a7132ed5458d0f1a7ed94b5c83c71b74
Pseudocalanus moultoni,0,4de959601e00945a0b3051874e903eaacdf51c09
Smithora naiadum,0,b3dfe8ed70991183fe386f070ee1d5a5373ba5e5
Wildemania amplissima,0,c1a67e67b62d836c1f4931f2cd4baa3bcf88d19e
Aurelia labiata,0,93c5f99035437b05677ed16d83bdbaf5a0dbd2a5
Hemigrapsus oregonensis,0,3fffa7f992b4ee08ff0a6064f032691fbdc6dfd3
Phytophthora taxon paludosa,0,NA
Platynereis bicanaliculata,0,ea625d2852a07a30bef375abc651408b6de471d1
