site,species,nonnative,X,Hash,kingdom,phylum,class,order,family,genus,EarlyLifeMinerology,AdultMinerology,reliability.minerology,trophic_level_fv,group_fv,benthos
LL,Botrylloides violaceus,1,251,2b7277cd2832663c69145711f7eccfc6f45d5f12,Metazoa,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botrylloides,No mineralization,No mineralization,species,3,tunicate,BEN
PO,Botrylloides violaceus,1,251,2b7277cd2832663c69145711f7eccfc6f45d5f12,Metazoa,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botrylloides,No mineralization,No mineralization,species,3,tunicate,BEN
TR,Botrylloides violaceus,1,251,2b7277cd2832663c69145711f7eccfc6f45d5f12,Metazoa,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botrylloides,No mineralization,No mineralization,species,3,tunicate,BEN
CP,Bougainvillia muscus,1,88,a2ff91ae83b266521461fb0185281aaa5e963cba,Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Bougainvillia,No mineralization,No mineralization,species,3,hydrozoan,Both
FH,Bougainvillia muscus,1,88,a2ff91ae83b266521461fb0185281aaa5e963cba,Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Bougainvillia,No mineralization,No mineralization,species,3,hydrozoan,Both
LL,Callithamnion corymbosum,1,291,5ff69e9f91d52b7ae4c76e89a79d1b67b44b0fb2,Rhodophyta,Rhodophyta ,Florideophyceae,Ceramiales,Ceramiaceae,Callithamnion,No mineralization,No mineralization,genus,undetermined,undetermined,BEN
PO,Callithamnion corymbosum,1,291,5ff69e9f91d52b7ae4c76e89a79d1b67b44b0fb2,Rhodophyta,Rhodophyta ,Florideophyceae,Ceramiales,Ceramiaceae,Callithamnion,No mineralization,No mineralization,genus,undetermined,undetermined,BEN
SA,Callithamnion corymbosum,1,291,5ff69e9f91d52b7ae4c76e89a79d1b67b44b0fb2,Rhodophyta,Rhodophyta ,Florideophyceae,Ceramiales,Ceramiaceae,Callithamnion,No mineralization,No mineralization,genus,undetermined,undetermined,BEN
TR,Callithamnion corymbosum,1,291,5ff69e9f91d52b7ae4c76e89a79d1b67b44b0fb2,Rhodophyta,Rhodophyta ,Florideophyceae,Ceramiales,Ceramiaceae,Callithamnion,No mineralization,No mineralization,genus,undetermined,undetermined,BEN
TW,Callithamnion corymbosum,1,291,5ff69e9f91d52b7ae4c76e89a79d1b67b44b0fb2,Rhodophyta,Rhodophyta ,Florideophyceae,Ceramiales,Ceramiaceae,Callithamnion,No mineralization,No mineralization,genus,undetermined,undetermined,BEN
LL,Caulacanthus ustulatus,1,241,fcd05564ba6afffcf9f8dece434f4c9f55425ed7,Rhodophyta,Rhodophyta ,Florideophyceae,Gigartinales,Caulacanthaceae,Caulacanthus,No mineralization,No mineralization,species,undetermined,undetermined,BEN
PO,Caulacanthus ustulatus,1,241,fcd05564ba6afffcf9f8dece434f4c9f55425ed7,Rhodophyta,Rhodophyta ,Florideophyceae,Gigartinales,Caulacanthaceae,Caulacanthus,No mineralization,No mineralization,species,undetermined,undetermined,BEN
SA,Caulacanthus ustulatus,1,241,fcd05564ba6afffcf9f8dece434f4c9f55425ed7,Rhodophyta,Rhodophyta ,Florideophyceae,Gigartinales,Caulacanthaceae,Caulacanthus,No mineralization,No mineralization,species,undetermined,undetermined,BEN
TR,Caulacanthus ustulatus,1,241,fcd05564ba6afffcf9f8dece434f4c9f55425ed7,Rhodophyta,Rhodophyta ,Florideophyceae,Gigartinales,Caulacanthaceae,Caulacanthus,No mineralization,No mineralization,species,undetermined,undetermined,BEN
TW,Caulacanthus ustulatus,1,241,fcd05564ba6afffcf9f8dece434f4c9f55425ed7,Rhodophyta,Rhodophyta ,Florideophyceae,Gigartinales,Caulacanthaceae,Caulacanthus,No mineralization,No mineralization,species,undetermined,undetermined,BEN
LL,Crassostrea gigas,1,246,d40e19f66e76cc54b02ae688174877657d1bdd5e,Metazoa,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,"Amorphous, Aragonite","Aragonite, Calcite",species,undetermined,undetermined,BEN
PO,Crassostrea gigas,1,246,d40e19f66e76cc54b02ae688174877657d1bdd5e,Metazoa,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,"Amorphous, Aragonite","Aragonite, Calcite",species,undetermined,undetermined,BEN
TR,Crassostrea gigas,1,246,d40e19f66e76cc54b02ae688174877657d1bdd5e,Metazoa,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,"Amorphous, Aragonite","Aragonite, Calcite",species,undetermined,undetermined,BEN
TW,Crassostrea gigas,1,246,d40e19f66e76cc54b02ae688174877657d1bdd5e,Metazoa,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,"Amorphous, Aragonite","Aragonite, Calcite",species,undetermined,undetermined,BEN
LL,Gelidiophycus freshwateri,1,316,401056fec673fe4aaa1bd46840d87fbc0d3f7921,Rhodophyta,Rhodophyta,Florideophyceae,Gelidiales,Gelidiaceae,Gelidiophycus,No mineralization,No mineralization,family,undetermined,undetermined,BEN
PO,Gelidiophycus freshwateri,1,316,401056fec673fe4aaa1bd46840d87fbc0d3f7921,Rhodophyta,Rhodophyta,Florideophyceae,Gelidiales,Gelidiaceae,Gelidiophycus,No mineralization,No mineralization,family,undetermined,undetermined,BEN
