phylum,sample,site,date,year,month,n_detections
Annelida,CP_201706,CP,201706,2017,06,6
Apusomonadidae,CP_201706,CP,201706,2017,06,1
Arthropoda,CP_201706,CP,201706,2017,06,5
Ascomycota,CP_201706,CP,201706,2017,06,0
Bacillariophyta,CP_201706,CP,201706,2017,06,23
Bangiophyceae,CP_201706,CP,201706,2017,06,4
Basidiomycota,CP_201706,CP,201706,2017,06,0
Bicosoecida,CP_201706,CP,201706,2017,06,0
Blastocladiomycota,CP_201706,CP,201706,2017,06,1
Brachiopoda,CP_201706,CP,201706,2017,06,0
Bryozoa,CP_201706,CP,201706,2017,06,1
Cercozoa,CP_201706,CP,201706,2017,06,0
Chlorophyta,CP_201706,CP,201706,2017,06,3
Chordata,CP_201706,CP,201706,2017,06,0
Chrysophyceae,CP_201706,CP,201706,2017,06,2
Cnidaria,CP_201706,CP,201706,2017,06,6
Compsopogonophyceae,CP_201706,CP,201706,2017,06,1
Dictyochophyceae,CP_201706,CP,201706,2017,06,1
Dinophyceae,CP_201706,CP,201706,2017,06,2
Discosea,CP_201706,CP,201706,2017,06,1
Echinodermata,CP_201706,CP,201706,2017,06,1
Entoprocta,CP_201706,CP,201706,2017,06,0
Florideophyceae,CP_201706,CP,201706,2017,06,9
Haptophyceae,CP_201706,CP,201706,2017,06,4
Himatismenida,CP_201706,CP,201706,2017,06,0
Katablepharidophyta,CP_201706,CP,201706,2017,06,0
Mollusca,CP_201706,CP,201706,2017,06,1
Mucoromycota,CP_201706,CP,201706,2017,06,0
Nematoda,CP_201706,CP,201706,2017,06,0
Nemertea,CP_201706,CP,201706,2017,06,0
Oomycetes,CP_201706,CP,201706,2017,06,5
Phaeophyceae,CP_201706,CP,201706,2017,06,7
Platyhelminthes,CP_201706,CP,201706,2017,06,0
Porifera,CP_201706,CP,201706,2017,06,2
Pyrenomonadales,CP_201706,CP,201706,2017,06,1
Raphidophyceae,CP_201706,CP,201706,2017,06,1
Rhodophyta,CP_201706,CP,201706,2017,06,0
Rotifera,CP_201706,CP,201706,2017,06,1
Synurophyceae,CP_201706,CP,201706,2017,06,1
Tardigrada,CP_201706,CP,201706,2017,06,0
Tubulinida,CP_201706,CP,201706,2017,06,0
Annelida,CP_201707,CP,201707,2017,07,6
Apusomonadidae,CP_201707,CP,201707,2017,07,1
Arthropoda,CP_201707,CP,201707,2017,07,6
Ascomycota,CP_201707,CP,201707,2017,07,0
Bacillariophyta,CP_201707,CP,201707,2017,07,22
Bangiophyceae,CP_201707,CP,201707,2017,07,4
Basidiomycota,CP_201707,CP,201707,2017,07,0
Bicosoecida,CP_201707,CP,201707,2017,07,0
Blastocladiomycota,CP_201707,CP,201707,2017,07,1
Brachiopoda,CP_201707,CP,201707,2017,07,0
Bryozoa,CP_201707,CP,201707,2017,07,1
Cercozoa,CP_201707,CP,201707,2017,07,0
Chlorophyta,CP_201707,CP,201707,2017,07,3
Chordata,CP_201707,CP,201707,2017,07,3
Chrysophyceae,CP_201707,CP,201707,2017,07,1
Cnidaria,CP_201707,CP,201707,2017,07,3
Compsopogonophyceae,CP_201707,CP,201707,2017,07,1
Dictyochophyceae,CP_201707,CP,201707,2017,07,2
Dinophyceae,CP_201707,CP,201707,2017,07,2
Discosea,CP_201707,CP,201707,2017,07,1
Echinodermata,CP_201707,CP,201707,2017,07,0
Entoprocta,CP_201707,CP,201707,2017,07,0
Florideophyceae,CP_201707,CP,201707,2017,07,5
Haptophyceae,CP_201707,CP,201707,2017,07,3
Himatismenida,CP_201707,CP,201707,2017,07,0
Katablepharidophyta,CP_201707,CP,201707,2017,07,0
Mollusca,CP_201707,CP,201707,2017,07,3
Mucoromycota,CP_201707,CP,201707,2017,07,0
Nematoda,CP_201707,CP,201707,2017,07,0
Nemertea,CP_201707,CP,201707,2017,07,0
Oomycetes,CP_201707,CP,201707,2017,07,2
Phaeophyceae,CP_201707,CP,201707,2017,07,5
Platyhelminthes,CP_201707,CP,201707,2017,07,0
Porifera,CP_201707,CP,201707,2017,07,2
Pyrenomonadales,CP_201707,CP,201707,2017,07,0
Raphidophyceae,CP_201707,CP,201707,2017,07,1
Rhodophyta,CP_201707,CP,201707,2017,07,0
Rotifera,CP_201707,CP,201707,2017,07,0
Synurophyceae,CP_201707,CP,201707,2017,07,1
Tardigrada,CP_201707,CP,201707,2017,07,0
Tubulinida,CP_201707,CP,201707,2017,07,0
Annelida,CP_201708,CP,201708,2017,08,1
Apusomonadidae,CP_201708,CP,201708,2017,08,0
Arthropoda,CP_201708,CP,201708,2017,08,8
Ascomycota,CP_201708,CP,201708,2017,08,0
Bacillariophyta,CP_201708,CP,201708,2017,08,19
Bangiophyceae,CP_201708,CP,201708,2017,08,0
Basidiomycota,CP_201708,CP,201708,2017,08,0
Bicosoecida,CP_201708,CP,201708,2017,08,0
Blastocladiomycota,CP_201708,CP,201708,2017,08,1
Brachiopoda,CP_201708,CP,201708,2017,08,0
Bryozoa,CP_201708,CP,201708,2017,08,1
Cercozoa,CP_201708,CP,201708,2017,08,0
Chlorophyta,CP_201708,CP,201708,2017,08,3
Chordata,CP_201708,CP,201708,2017,08,1
Chrysophyceae,CP_201708,CP,201708,2017,08,1
Cnidaria,CP_201708,CP,201708,2017,08,5
Compsopogonophyceae,CP_201708,CP,201708,2017,08,0
Dictyochophyceae,CP_201708,CP,201708,2017,08,2
Dinophyceae,CP_201708,CP,201708,2017,08,2
Discosea,CP_201708,CP,201708,2017,08,0
Echinodermata,CP_201708,CP,201708,2017,08,0
Entoprocta,CP_201708,CP,201708,2017,08,0
Florideophyceae,CP_201708,CP,201708,2017,08,2
Haptophyceae,CP_201708,CP,201708,2017,08,4
Himatismenida,CP_201708,CP,201708,2017,08,0
Katablepharidophyta,CP_201708,CP,201708,2017,08,0
Mollusca,CP_201708,CP,201708,2017,08,6
Mucoromycota,CP_201708,CP,201708,2017,08,0
Nematoda,CP_201708,CP,201708,2017,08,0
Nemertea,CP_201708,CP,201708,2017,08,0
Oomycetes,CP_201708,CP,201708,2017,08,2
Phaeophyceae,CP_201708,CP,201708,2017,08,1
Platyhelminthes,CP_201708,CP,201708,2017,08,0
Porifera,CP_201708,CP,201708,2017,08,0
Pyrenomonadales,CP_201708,CP,201708,2017,08,0
Raphidophyceae,CP_201708,CP,201708,2017,08,1
Rhodophyta,CP_201708,CP,201708,2017,08,0
Rotifera,CP_201708,CP,201708,2017,08,1
Synurophyceae,CP_201708,CP,201708,2017,08,1
Tardigrada,CP_201708,CP,201708,2017,08,0
Tubulinida,CP_201708,CP,201708,2017,08,0
Annelida,CP_201709,CP,201709,2017,09,2
Apusomonadidae,CP_201709,CP,201709,2017,09,0
Arthropoda,CP_201709,CP,201709,2017,09,2
Ascomycota,CP_201709,CP,201709,2017,09,0
Bacillariophyta,CP_201709,CP,201709,2017,09,12
Bangiophyceae,CP_201709,CP,201709,2017,09,0
Basidiomycota,CP_201709,CP,201709,2017,09,0
Bicosoecida,CP_201709,CP,201709,2017,09,0
Blastocladiomycota,CP_201709,CP,201709,2017,09,1
Brachiopoda,CP_201709,CP,201709,2017,09,0
Bryozoa,CP_201709,CP,201709,2017,09,1
Cercozoa,CP_201709,CP,201709,2017,09,0
Chlorophyta,CP_201709,CP,201709,2017,09,4
Chordata,CP_201709,CP,201709,2017,09,1
Chrysophyceae,CP_201709,CP,201709,2017,09,2
Cnidaria,CP_201709,CP,201709,2017,09,6
Compsopogonophyceae,CP_201709,CP,201709,2017,09,0
Dictyochophyceae,CP_201709,CP,201709,2017,09,2
Dinophyceae,CP_201709,CP,201709,2017,09,2
Discosea,CP_201709,CP,201709,2017,09,0
Echinodermata,CP_201709,CP,201709,2017,09,1
Entoprocta,CP_201709,CP,201709,2017,09,0
Florideophyceae,CP_201709,CP,201709,2017,09,6
