species,n_detections,BLAST pident,,,,,,,
Gracilaria vermiculophylla,34,100,,,,,,,
Ruditapes philippinarum,25,100,,,,,,,
Caulacanthus ustulatus,23,100,,,,,,,
Nuttallia olivacea,17,100,,,,,,,
Crassostrea gigas,13,100,,,,,,,
Callithamnion corymbosum,13,100,,,,,,,
Pyropia haitanensis,12,99.67,,,,,,,
Monocorophium acherusicum,9,100,,,,,,,
Gelidiophycus freshwateri,9,100,,,,,,,
Botrylloides violaceus,6,100,,,,,,,
Bougainvillia muscus,3,100,,,,,,,
Lomentaria hakodatensis,3,100,,,,,,,
Mya arenaria,3,100,,,,,,,
Gelidium vagum,2,100,,,,,,,
Macoma petalum,2,95.19,,,,,,,
Musculista senhousia,2,96.16,,,,,,,
Nitokra spinipes,2,98.9,,,,,,,
Hediste diadroma,1,99.67,,,,,,,
Melanothamnus harveyi,1,98.72,,,,,,,
Mytilicola orientalis,1,100,,,,,,,
Stenhelia pubescens,1,100,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
