species,n_detections,group_fv,benthos,nonnative,source,pident,name_change,manual_blast,blast_notes,notes
Gracilaria vermiculophylla,34,"algae, red",BEN,1,algaebase,100,0,100%,species genome 100% identity,well studied invader
Ruditapes philippinarum,25,undetermined,BEN,1,worms,100,0,98%,,manila clams!
Caulacanthus ustulatus,23,undetermined,BEN,1,algaebase,100,1,100%,,
Nuttallia olivacea,17,undetermined,BEN,1,worms,100,1,99.30%,,
Azumapecten farreri,13,undetermined,BEN,1,worms,,,conflict 96%,other blast results appear to be invasive as well,farrers scallop chinese aquaculture species
Crassostrea gigas,13,undetermined,BEN,1,worms,100,0,conflict 94%,other blast results invasive as well,
Callithamnion corymbosum,13,undetermined,BEN,1,worms encyclopedia of puget sound,100,0,100%,,Terrie - this is a red alga evidently native to the UK
Monocorophium acherusicum,9,undetermined,BEN,1,worms invasions.si.edu,100,0,conflict 90% ,,"some uncertainty, native to europe, balast water introduction"
Gelidiophycus freshwateri,9,undetermined,BEN,1,algaebase,100,0,conflict 98%,,Terrie - this is a red alga endemic to east Asia (non-native in PNW)
Botrylloides violaceus,6,tunicate,BEN,1,worms,100,0,100%,,nonnative from australia!
Loxothylacus panopaei,6,undetermined,None,1,worms,89.54,0,conflict 90% ,other blast results invasive as well,no records at all from pacific…
Notheia anomala,4,undetermined,BEN,0,algaebase,85.21,0,absent,94% thraustochytrium (arctic species),"Terrie - brown alga, non native, This is a puzzling occurrence b/c this species is an obligate piphyte of the brown alga hormosira banks which is native to Australia and NZ but to my knowledge has never been reported on this coast, so if its here, what is the host?"
Arca avellana,3,undetermined,BEN,0,worms,100,0,tbd,,INCORRECT ID - NATIVE Humilaria kennerleyi
Bougainvillia muscus,3,hydrozoan,Both,1,invasions.si.edu,100,0,tbd,,cryptogenic? 
Clytia folleata,3,hydrozoan,Both,1,worms sealifebase.ca,89.77,,tbd,,
Lomentaria hakodatensis,3,undetermined,BEN,1,worms,100,0,,,some uncertainty but is increasing in abundance 
Mya arenaria,3,undetermined,BEN,1,worms invasions.si.edu,100,1,,,"both 100 mya arenaria, mya japonica both nonnative"
Lacuna pallidula,3,undetermined,BEN,0,worms,99.68,0,tbd,,INCORRECT ID - NATIVE Lacuna variegata
Gelidium vagum,2,undetermined,BEN,1,worms,100,0,tbd,,recently introduced from east asia https://www.researchgate.net/publication/273689493_Mitochondrial_cox1_and_cob_sequence_diversities_in_Gelidium_vagum_Gelidiales_Rhodophyta_in_Korea
Macoma petalum,2,undetermined,BEN,1,worms invasions.si.edu,,0,tbd,,
Musculista senhousia,2,"bivalve, mussels",BEN,1,worms invasions.si.edu,96.16,,95.19%,no native relatives,"arcuatula senhousia - native to kurile islands, russia, japan, singapore, in some instances native suspension feeder have declined or disappeared in presence "
Pennaria disticha,2,hydrozoan,BEN,1,worms invasions.si.edu,85,0,tbd,cryptic?,"native to east coast, invasive in hawaii, not documented on west coast"
Striaria attenuata,2,"algae, brown",BEN,0,worms ,88.78,0,tbd,,Terrie - Striaria attenuata is non-native https://invasions.si.edu/nemesis/chesreport/species_summary/Striaria%20attenuata
Aphroditella hastata,1,polychaete,BEN,1,worms,91,,tbd,,documented only in atlantic and med 
Gari maculosa,1,undetermined,BEN,1,worms obis,100,1,tbd,,gari masculos new ID
